Source,Source_Type,Target,Target_Type,Hypothesis_Class,Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Node2Vec_Integrated_Score,ML_Probability,Final_AI_Rank_Score
toxicity,BIOLOGICAL_PROCESS,expression,BIOLOGICAL_PROCESS,semantic_hypothesis,575.226447872181,195.0,41,7,10.87989060275715,0.5466666666666666,3264,68,48,dinoflagellate; alexandrium; saxitoxin; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_catenella; regulation; alexandrium_minutum; biosynthesis; cyanobacteria; alexandrium_tamarense; nutrient; sxta; phylogenetic; toxin_production; alexandrium_fundyense; bloom; light; evolution,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; ENV_FACTOR; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
pyrodinium_bahamense,DINO_TAXON,expression,BIOLOGICAL_PROCESS,semantic_hypothesis,390.7117025573479,119.0,32,7,8.232900459001833,0.5245901639344263,2160,45,48,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; alexandrium; nutrient; bloom; light; toxin_production; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; sxta; cyanobacterial; regulation; biosynthesis; nutrients; gonyautoxin; sxt_genes,DINO_TAXON; TOXIN; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; SXT_GENE; CYANO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; TOXIN; SXT_GENE,dino_pre2016,unvalidated_candidate,,,,,
expression,BIOLOGICAL_PROCESS,temperature,ENV_FACTOR,semantic_hypothesis,385.9848074952514,133.0,26,5,6.522706777928734,0.3939393939393939,2112,48,44,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_toxins; dinoflagellates; paralytic_shellfish_poisoning; alexandrium_tamarense; nutrient; regulation; alexandrium_minutum; toxin_production; alexandrium_fundyense; bloom; light; biosynthesis; gymnodinium; gymnodinium_catenatum; saxitoxin_biosynthesis; alexandrium_catenella; toxin_biosynthesis,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
light,ENV_FACTOR,harmful_algal_bloom,ENV_FACTOR,semantic_hypothesis,378.9043148889284,113.0,32,7,8.0430665353733,0.5818181818181818,1836,51,36,alexandrium; saxitoxin; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; toxicity; paralytic_shellfish_toxins; alexandrium_tamarense; bloom; gonyautoxin; gymnodinium; hplc; pyrodinium; nitrogen; sxta; alexandrium_minutum; nutrient; gymnodinium_catenatum; alexandrium_fundyense; alexandrium_catenella,DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; TOXIN; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR; SXT_GENE; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DINO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
nutrient,ENV_FACTOR,evolution,BIOLOGICAL_PROCESS,semantic_hypothesis,372.392572399917,108.0,33,7,8.446286199958513,0.55,2142,51,42,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; biosynthesis; paralytic_shellfish_toxins; expression; regulation; toxicity; cyanobacteria; pyrodinium; saxitoxin_biosynthesis; alexandrium_catenella; sxta; gene_expression; alexandrium_tamarense; alexandrium_minutum; phylogenetic; toxin_production,TOXIN; DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
biosynthesis,BIOLOGICAL_PROCESS,nutrients,ENV_FACTOR,semantic_hypothesis,359.57274732297526,105.0,34,5,8.749060228651805,0.5074626865671642,2340,65,36,dinoflagellate; alexandrium; saxitoxin; toxicity; nutrient; toxin_production; paralytic_shellfish_toxins; bloom; alexandrium_catenella; light; nitrogen; paralytic_shellfish_poisoning; regulation; dinoflagellates; gymnodinium; phosphate; pyrodinium; alexandrium_fundyense; gtx; expression,DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
alexandrium_fundyense,DINO_TAXON,salinity,ENV_FACTOR,semantic_hypothesis,358.58506282227705,109.0,30,6,7.66095246377013,0.5263157894736842,1862,49,38,dinoflagellate; saxitoxin; alexandrium; toxicity; nutrient; toxin_production; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; gtx; light; nitrogen; dinoflagellates; temperature; bloom; nitrate; regulation; nutrients; phosphate; alexandrium_catenella; warming,DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; ENV_FACTOR; BIOLOGICAL_PROCESS; TOXIN; TOXIN; TOXIN; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; DINO_TAXON; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
phylogenetic,BIOLOGICAL_PROCESS,harmful_algal_bloom,ENV_FACTOR,semantic_hypothesis,357.7224988524845,108.0,29,7,7.224885789878612,0.5272727272727272,1728,48,36,alexandrium; saxitoxin; paralytic_shellfish_poisoning; dinoflagellate; dinoflagellates; toxicity; paralytic_shellfish_toxins; alexandrium_tamarense; bloom; gonyautoxin; gymnodinium; pyrodinium; alexandrium_catenella; sxta; alexandrium_minutum; nutrient; hplc; gymnodinium_catenatum; alexandrium_fundyense; expression,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; ENV_FACTOR; TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; SXT_GENE; DINO_TAXON; ENV_FACTOR; DETECTION_METHOD; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
regulation,BIOLOGICAL_PROCESS,harmful_algal_bloom,ENV_FACTOR,semantic_hypothesis,357.4913422835768,102.0,32,7,8.0456711417884,0.64,1656,46,36,alexandrium; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_poisoning; toxicity; paralytic_shellfish_toxins; bloom; alexandrium_tamarense; alexandrium_catenella; pyrodinium; nitrogen; sxta; alexandrium_minutum; nutrient; gymnodinium; hplc; phosphorus; alexandrium_fundyense; gonyautoxin,DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; DINO_TAXON; DINO_TAXON; DINO_TAXON; ENV_FACTOR; SXT_GENE; DINO_TAXON; ENV_FACTOR; DINO_TAXON; DETECTION_METHOD; ENV_FACTOR; DINO_TAXON; TOXIN,dino_pre2016,unvalidated_candidate,,,,,
light,ENV_FACTOR,evolution,BIOLOGICAL_PROCESS,semantic_hypothesis,356.4624793725709,102.0,32,7,8.108288866613334,0.5245901639344263,2142,51,42,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; expression; regulation; toxicity; biosynthesis; gymnodinium; pyrodinium; sxta; alexandrium_tamarense; alexandrium_minutum; cyanobacteria; toxin_production; gymnodinium_catenatum; hplc; transcriptome,TOXIN; DINO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; SXT_GENE; DINO_TAXON; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DETECTION_METHOD; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
nitrogen,ENV_FACTOR,cyanobacterial,CYANO_TAXON,semantic_hypothesis,355.6467683082966,98.0,34,7,8.747626578390738,0.5151515151515151,2499,49,51,dinoflagellate; dinoflagellates; saxitoxin; alexandrium; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; bloom; alexandrium_tamarense; biosynthesis; cyanobacteria; toxin_production; hplc; expression; regulation; toxicity; transcriptome; alexandrium_fundyense; gonyautoxin; pyrodinium; alexandrium_catenella,DINO_TAXON; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; TOXIN; ENV_FACTOR; DINO_TAXON; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; DETECTION_METHOD; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
temperature,ENV_FACTOR,cyanobacterial,CYANO_TAXON,semantic_hypothesis,351.7719477166635,106.0,30,6,7.57828155063943,0.4615384615384615,2244,44,51,dinoflagellate; saxitoxin; dinoflagellates; paralytic_shellfish_toxins; alexandrium; paralytic_shellfish_poisoning; bloom; hplc; pyrodinium; saxitoxin_biosynthesis; alexandrium_tamarense; biosynthesis; toxin_production; gymnodinium; gymnodinium_catenatum; pyrodinium_bahamense; toxin_biosynthesis; regulation; toxicity; gonyautoxin,DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; TOXIN; ENV_FACTOR; DETECTION_METHOD; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; TOXIN,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium,DINO_TAXON,toxin_biosynthesis,BIOLOGICAL_PROCESS,semantic_hypothesis,344.92920456909,89.0,36,7,9.317543461015594,0.5294117647058824,2604,62,42,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; biosynthesis; cyanobacteria; toxin_production; expression; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_minutum; gtx; saxitoxin_biosynthesis; alexandrium_catenella; sxta; cyanobacterial; alexandrium_tamarense; temperature; alexandrium_fundyense,DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; CYANO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; TOXIN; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; SXT_GENE; CYANO_TAXON; DINO_TAXON; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium_catenatum,DINO_TAXON,toxin_biosynthesis,BIOLOGICAL_PROCESS,semantic_hypothesis,333.48998156917094,85.0,35,7,9.01061578458546,0.546875,2394,57,42,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; biosynthesis; expression; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_minutum; cyanobacteria; toxin_production; gtx; saxitoxin_biosynthesis; alexandrium_catenella; sxta; cyanobacterial; alexandrium_tamarense; temperature; alexandrium_fundyense,DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; TOXIN; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; CYANO_TAXON; BIOLOGICAL_PROCESS; TOXIN; BIOLOGICAL_PROCESS; DINO_TAXON; SXT_GENE; CYANO_TAXON; DINO_TAXON; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
toxicity,BIOLOGICAL_PROCESS,gene_expression,BIOLOGICAL_PROCESS,semantic_hypothesis,333.39657793963624,97.0,30,6,7.585612913480097,0.4225352112676056,2244,68,33,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; regulation; paralytic_shellfish_toxins; alexandrium_minutum; dinoflagellates; toxin_production; alexandrium_catenella; sxta; evolution; alexandrium_tamarense; biosynthesis; cyanobacteria; cyanobacterial; nutrient; gymnodinium; gymnodinium_catenatum; alexandrium_fundyense,DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; TOXIN; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; CYANO_TAXON; CYANO_TAXON; ENV_FACTOR; DINO_TAXON; DINO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
neosaxitoxin,TOXIN,cyanobacterial,CYANO_TAXON,semantic_hypothesis,328.88207531652785,100.0,27,6,6.691037658263919,0.45,1836,36,51,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; alexandrium; gymnodinium; hplc; pyrodinium; alexandrium_tamarense; toxin_production; gymnodinium_catenatum; pyrodinium_bahamense; toxicity; phylogenetic; cyanobacteria; gonyautoxin; alexandrium_fundyense; bloom; alexandrium_catenella,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; CYANO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
gtx,TOXIN,cyanobacterial,CYANO_TAXON,semantic_hypothesis,328.5197790427541,98.0,28,6,7.001825005248037,0.4516129032258064,1989,39,51,dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; alexandrium; paralytic_shellfish_toxins; dinoflagellates; gymnodinium; hplc; alexandrium_tamarense; biosynthesis; toxin_production; gymnodinium_catenatum; saxitoxin_biosynthesis; toxin_biosynthesis; toxicity; phylogenetic; alexandrium_fundyense; gonyautoxin; bloom; alexandrium_catenella,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; TOXIN; DINO_TAXON; DINO_TAXON; DETECTION_METHOD; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; ENV_FACTOR; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
phylogenetic,BIOLOGICAL_PROCESS,salinity,ENV_FACTOR,semantic_hypothesis,326.64287085889725,95.0,29,6,7.277575780325821,0.5087719298245614,1824,48,38,dinoflagellate; saxitoxin; alexandrium; toxicity; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; gonyautoxin; dinoflagellates; toxin_production; pyrodinium; gtx; bloom; alexandrium_tamarense; neosaxitoxin; alexandrium_minutum; nutrient; nutrients; hplc; alexandrium_catenella; light,DINO_TAXON; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; TOXIN; ENV_FACTOR; DINO_TAXON; TOXIN; DINO_TAXON; ENV_FACTOR; ENV_FACTOR; DETECTION_METHOD; DINO_TAXON; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
