Source,Target,Source_Type,Target_Type,Relation,Group,Weight,Paper_Count,Paper_IDs,Years,Relation_Hints,Edge_Key,Transfer_Match
climate change,saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,13,13,29970250;30380769;33111925;33980428;35622541;38754694;38943258;39195450;39265222;39330836;40935520;41532809;41915567,2018;2020;2021;2022;2024;2025;2026,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('climate change', 'saxitoxin')",1
environmental conditions,saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,13,13,21076133;22081581;24956074;25346253;28073481;29933577;30170723;30961962;32593754;34697712;36689843;38401471;41908554,2011;2012;2014;2016;2018;2019;2020;2022;2023;2024;2026,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('environmental conditions', 'saxitoxin')",1
phosphorus,saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,13,13,15892061;24333522;26568470;28073499;29791446;30792397;31102855;31358272;31713695;34697712;38244903;40209228;41334952,2005;2014;2016;2018;2019;2022;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('phosphorus', 'saxitoxin')",1
Saxitoxin,sxtA,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,12,12,21223973;21625593;22628533;23335767;26347118;29027918;30275378;33084210;33526182;38393148;39703858;40209228,2011;2013;2016;2017;2018;2021;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'sxta')",1
biosynthesis,nitrogen,BIOLOGICAL_MECHANISM,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,11,11,21076133;23892224;24460188;24956074;26239440;26568470;28073493;28073495;28073499;37164563;40209228,2011;2013;2014;2015;2016;2023;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthesis', 'nitrogen')",1
oxidative stress,saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,11,11,21073887;25456236;25544652;26568470;27424100;27796937;28409869;29128272;32247151;34974311;35364510,2011;2014;2015;2016;2017;2018;2020;2022,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN,"('oxidative stress', 'saxitoxin')",1
saxitoxin,STX-producing,TOXIN,TOXIN_PHENOTYPE,SEMANTIC_CO_OCCURS,cyano_train,11,11,14660387;14718552;15294806;19627483;20935128;22628533;25055083;32593754;33526182;33980444;38393148,2003;2004;2009;2010;2013;2014;2020;2021;2024,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'stx-producing')",1
saxitoxin,toxigenic,TOXIN,TOXIN_PHENOTYPE,SEMANTIC_CO_OCCURS,cyano_train,11,11,12450830;14718552;22983012;28073495;28433693;29933577;30502809;30772567;34520086;38805870;39330836,2002;2004;2012;2016;2017;2018;2019;2021;2024,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'toxigenic')",1
biosynthesis,biosynthetic pathway,BIOLOGICAL_MECHANISM,BIOSYNTHETIC_SYSTEM,SEMANTIC_CO_OCCURS,cyano_train,10,10,18487408;18850059;19331657;19484122;23966031;28073495;29390180;31527551;32526918;35198665,2008;2009;2013;2016;2018;2019;2020;2022,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'biosynthetic pathway')",1
light,saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,10,10,14660387;15294806;23892224;24333522;28073481;28208628;28235579;34200983;34520086;35997789,2003;2004;2013;2014;2016;2017;2021;2022,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('light', 'saxitoxin')",1
biosynthesis,toxin-producing,BIOLOGICAL_MECHANISM,TOXIN_PHENOTYPE,SEMANTIC_CO_OCCURS,cyano_train,9,9,22081581;24334673;25421324;26417864;27817832;28678186;35198665;36470600;39305001,2012;2014;2015;2016;2017;2022;2024,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthesis', 'toxin-producing')",1
gene transfer,saxitoxin,EVOLUTIONARY_PROCESS,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,9,9,18487408;18850059;19331657;21076133;23335767;23966031;38705616;39545400;40209228,2008;2009;2011;2013;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('gene transfer', 'saxitoxin')",1
saxitoxin,sxtI,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,9,9,24015317;27907126;28073495;28073499;30772567;31936211;38705616;40449983;41702991,2013;2016;2019;2020;2024;2025;2026,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'sxti')",1
biosynthesis,gene transfer,BIOLOGICAL_MECHANISM,EVOLUTIONARY_PROCESS,SEMANTIC_CO_OCCURS,cyano_train,8,8,18487408;18850059;19331657;21076133;23335767;23966031;38705616;40209228,2008;2009;2011;2013;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'gene transfer')",1
biosynthesis,sxtI,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_RELATION,cyano_train,8,8,28073495;28073499;30772567;33608790;35902522;38705616;40449983;41702991,2016;2019;2021;2023;2024;2025;2026,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'sxti')",1
gene transfer,horizontal gene transfer,EVOLUTIONARY_PROCESS,EVOLUTIONARY_PROCESS,SEMANTIC_CO_OCCURS,cyano_train,8,8,18850059;19331657;21076133;23335767;23966031;38705616;39545400;40209228,2008;2009;2011;2013;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('gene transfer', 'horizontal gene transfer')",1
horizontal gene transfer,saxitoxin,EVOLUTIONARY_PROCESS,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,8,8,18850059;19331657;21076133;23335767;23966031;38705616;39545400;40209228,2008;2009;2011;2013;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('horizontal gene transfer', 'saxitoxin')",1
paralytic shellfish toxins,sxtA,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,8,8,24334673;25421324;26347118;27569199;29705145;30502809;33084210;39003021,2014;2016;2018;2021;2024,DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('paralytic shellfish toxins', 'sxta')",1
phylogeny,saxitoxin,EVOLUTIONARY_PROCESS,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,8,8,10966445;18850059;19118969;19331657;24461713;27007634;27907126;38705616,2000;2008;2009;2013;2014;2016;2024,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('phylogeny', 'saxitoxin')",1
salinity,saxitoxin,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,8,8,23892224;28073481;29791446;33980428;33980444;33980451;35131565;35364510,2013;2016;2018;2021;2022,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN,"('salinity', 'saxitoxin')",1
saxitoxin,sxt genes,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,8,8,28073499;28797629;34200983;36689843;38705616;39003021;40209228;40449983,2016;2017;2021;2023;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'sxt genes')",1
saxitoxin,sxtA4,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,8,8,28073499;31936211;35031458;36689843;38705616;40449983;41334952;41702991,2016;2020;2022;2023;2024;2025;2026,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'sxta4')",1
saxitoxin,sxtG,TOXIN,GENE,GENE_ASSOCIATED_WITH_TOXIN,cyano_train,8,8,22628533;23335767;28073499;29705145;34357469;36689843;38705616;40449983,2013;2016;2018;2021;2023;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin', 'sxtg')",1
Alexandrium catenella,biosynthesis,SPECIES,BIOLOGICAL_MECHANISM,SEMANTIC_CO_OCCURS,cyano_train,7,7,25421324;26417864;28678186;35031458;36689843;38270276;38705616,2014;2015;2017;2022;2023;2024,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('alexandrium catenella', 'biosynthesis')",1
Biosynthesis,biosynthesis,BIOLOGICAL_MECHANISM,BIOLOGICAL_MECHANISM,SEMANTIC_CO_OCCURS,cyano_train,7,7,20479965;28678186;32033403;38270276;39305001;40710502;41591172,2010;2017;2020;2024;2025;2026,DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthesis', 'biosynthesis')",1
PKS,saxitoxin,BIOSYNTHETIC_SYSTEM,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,7,7,18487408;20935128;24461713;31936211;33084210;35031458;41702991,2008;2010;2014;2020;2021;2022;2026,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN,"('pks', 'saxitoxin')",1
biosynthesis,Paralytic shellfish toxins,BIOLOGICAL_MECHANISM,TOXIN,TOXIN_MECHANISM_RELATION,cyano_train,7,7,26239440;26316331;26417864;28678186;30983320;32307073;33084210,2015;2016;2017;2019;2020;2021,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthesis', 'paralytic shellfish toxins')",1
biosynthesis,environmental conditions,BIOLOGICAL_MECHANISM,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,7,7,21076133;22081581;24956074;25346253;33608790;36689843;37394567,2011;2012;2014;2021;2023,DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthesis', 'environmental conditions')",1
biosynthesis,evolution,BIOLOGICAL_MECHANISM,EVOLUTIONARY_PROCESS,SEMANTIC_CO_OCCURS,cyano_train,7,7,19331657;20479965;21076133;23051004;23892224;23966031;26316331,2009;2010;2011;2013;2016,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN,"('biosynthesis', 'evolution')",1
biosynthesis,horizontal gene transfer,BIOLOGICAL_MECHANISM,EVOLUTIONARY_PROCESS,SEMANTIC_CO_OCCURS,cyano_train,7,7,18850059;19331657;21076133;23335767;23966031;38705616;40209228,2008;2009;2011;2013;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'horizontal gene transfer')",1
biosynthesis,secondary metabolites,BIOLOGICAL_MECHANISM,BIOSYNTHETIC_SYSTEM,SEMANTIC_CO_OCCURS,cyano_train,7,7,20559491;21076133;26316331;30104548;33765498;37164563;37394567,2010;2011;2016;2018;2021;2023,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'secondary metabolites')",1
biosynthesis,sxt genes,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_RELATION,cyano_train,7,7,25421324;28073499;28797629;36689843;38705616;40209228;40449983,2014;2016;2017;2023;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'sxt genes')",1
biosynthesis,sxtG,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_RELATION,cyano_train,7,7,23335767;28073499;29705145;32058687;36689843;38705616;40449983,2013;2016;2018;2020;2023;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN,"('biosynthesis', 'sxtg')",1
clade,saxitoxin,EVOLUTIONARY_PROCESS,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,7,7,21479808;30502809;32290496;34023075;37951618;38943258;41702991,2011;2018;2020;2021;2023;2024;2026,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN,"('clade', 'saxitoxin')",1
conserved,saxitoxin,EVOLUTIONARY_PROCESS,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,7,7,21076133;22983012;26568470;27907126;35031458;40449983;41702991,2011;2012;2016;2022;2025;2026,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('conserved', 'saxitoxin')",1
evolution,saxitoxin,EVOLUTIONARY_PROCESS,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,7,7,19118969;19331657;21076133;23051004;23892224;23966031;34023075,2009;2011;2013;2021,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,"('evolution', 'saxitoxin')",1
gene expression,saxitoxin,REGULATION_EXPRESSION,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,7,7,16650472;24956074;27796937;38710226;39571800;40209228;41334952,2006;2014;2017;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN;REGULATES,"('gene expression', 'saxitoxin')",1
nitrogen,toxin production,ENV_FACTOR,TOXIN,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,7,7,24956074;28073477;28073499;30079124;33128150;36470609;41334952,2014;2016;2017;2021;2022;2025,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,"('nitrogen', 'toxin production')",1
nontoxic,saxitoxin,TOXIN_PHENOTYPE,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,7,7,11348083;15294806;19627483;24460188;33401417;36629970;4089872,1985;2001;2004;2009;2014;2021;2023,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN,"('nontoxic', 'saxitoxin')",1
paralytic shellfish toxins,phosphate,TOXIN,ENV_FACTOR,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,cyano_train,7,7,21533636;21985090;25825710;25877158;27542935;30203964;37087502,2011;2015;2016;2018;2023,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN,"('paralytic shellfish toxins', 'phosphate')",1
precursor,saxitoxin,BIOLOGICAL_MECHANISM,TOXIN,TOXIN_MECHANISM_RELATION,cyano_train,7,7,18850059;22169195;24956074;29390180;33084210;38270276;39305001,2008;2012;2014;2018;2021;2024,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,"('precursor', 'saxitoxin')",1
saxitoxin biosynthesis,sxtA,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_RELATION,cyano_train,7,7,22081581;23335767;27569199;29027918;29705145;38705616;40449983,2012;2013;2016;2017;2018;2024;2025,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('saxitoxin biosynthesis', 'sxta')",1
sxtA,sxtG,GENE,GENE,SEMANTIC_CO_OCCURS,cyano_train,7,7,22628533;23335767;28073499;29705145;35324712;38705616;40449983,2013;2016;2018;2022;2024;2025,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('sxta', 'sxtg')",1
Alexandrium tamarense,saxitoxin,SPECIES,TOXIN,SEMANTIC_CO_OCCURS,cyano_train,6,6,12565757;21625593;22628533;24718696;26842222;27817832,2003;2011;2013;2014;2016,ASSOCIATED_WITH;INCREASES;INVOLVED_IN;PRESENT_IN,"('alexandrium tamarense', 'saxitoxin')",1
STX biosynthesis,sxtA,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_RELATION,cyano_train,6,6,20935128;26347118;28073499;29390180;38705616;40209228,2010;2016;2018;2024;2025,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('stx biosynthesis', 'sxta')",1
Saxitoxin,STX biosynthesis,TOXIN,BIOLOGICAL_MECHANISM,TOXIN_MECHANISM_RELATION,cyano_train,6,6,18487408;26347118;31527551;38270276;40209228;41591172,2008;2016;2019;2024;2025;2026,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN,"('saxitoxin', 'stx biosynthesis')",1
Temperature,temperature,ENV_FACTOR,ENV_FACTOR,SEMANTIC_CO_OCCURS,cyano_train,6,6,26888523;29027918;30380769;30646514;33401417;38754694,2016;2017;2018;2019;2021;2024,ASSOCIATED_WITH;DECREASES;INCREASES,"('temperature', 'temperature')",1
biosynthesis,PKS,BIOLOGICAL_MECHANISM,BIOSYNTHETIC_SYSTEM,SEMANTIC_CO_OCCURS,cyano_train,6,6,18487408;20479965;20935128;33084210;35031458;41702991,2008;2010;2021;2022;2026,ABSENT_IN;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'pks')",1
biosynthesis,precursor,BIOLOGICAL_MECHANISM,BIOLOGICAL_MECHANISM,SEMANTIC_CO_OCCURS,cyano_train,6,6,18850059;24956074;29390180;33084210;38270276;39305001,2008;2014;2018;2021;2024,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,"('biosynthesis', 'precursor')",1
biosynthesis,sxtA4,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_RELATION,cyano_train,6,6,28073499;35031458;36689843;38705616;40449983;41702991,2016;2022;2023;2024;2025;2026,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'sxta4')",1
biosynthesis,toxigenic,BIOLOGICAL_MECHANISM,TOXIN_PHENOTYPE,SEMANTIC_CO_OCCURS,cyano_train,6,6,12450830;14718552;23850895;26417864;28073495;30772567,2002;2004;2013;2015;2016;2019,ASSOCIATED_WITH;INCREASES;INVOLVED_IN;PRESENT_IN,"('biosynthesis', 'toxigenic')",1
