Source,Target,CN,WCN,AA,PA,Jaccard,Embedding_Cosine,Embedding_L2,Original_Score,Bio_Bonus,Common_Neighbors_Original,Weighted_Common_Neighbors_Original,Bridge_Nodes,Match,RF_Prob,GB_Prob,LR_Prob,ML_Score,Original_Score_Norm,ML_Score_Norm,Final_AI_Score
alexandrium tamarense,sxtg,30,195.0,7.449720186248867,5610,0.22900763358778625,0.215387225151062,2.033686876296997,258.36781458742587,37,30,195.0,alexandrium;alexandrium minutum;cellular toxin;cyanobacteria;cyanobacteria and dinoflagellates;dinoflagellates;genus alexandrium;gymnodinium;homologs;involved in stx;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin biosynthesis;saxitoxin synthesis;stx-producing;sxta;toxic cyanobacteria;toxic species;toxin production;toxin synthesis,0,1.0,0.9911648406245516,0.9999947006854586,0.9955818903808216,0.6097850491445812,0.9977685569178582,0.7843776276425558
toxin content,cyanobacteria,27,246.0,6.541259929439759,9657,0.1588235294117647,0.10880230367183685,2.350140333175659,269.5086024421888,36,26,244.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium spp;alexandrium tamarense;biosynthesis;dinoflagellates;gene cluster;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellates;pyrodinium;saxitoxin biosynthesis;saxitoxin-producing dinoflagellates;sxta;toxic dinoflagellate;toxin production;toxin synthesis,0,0.8833333333333333,0.9619970935726458,0.9998447243104198,0.9343163525506982,0.6439781752679469,0.9362250341900233,0.7754892617828812
alexandrium catenella,producing dinoflagellates,25,239.0,5.659442351272396,4420,0.23148148148148148,0.21175585687160492,1.9511111974716187,250.9412224235528,30,25,239.0,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;genes involved;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;saxitoxin;saxitoxin biosynthesis;stx-producing;sxta;toxin composition;toxin content;toxin production;toxin profile;toxin synthesis;toxin-producing,0,0.9966666666666667,0.991208949111819,0.9971620594206759,0.9939873471646439,0.5869914724391827,0.9961667786565223,0.7711203602369856
paralytic shellfish toxins,pyrodinium bahamense,20,227.0,4.804714952501623,6262,0.09433962264150944,0.21554289758205414,2.060072898864746,246.3922735313953,37,20,227.0,alexandrium;biosynthesis;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;producing dinoflagellates;pyrodinium;salinity;saxitoxin;saxitoxin biosynthesis;stx equivalents;stx-producing;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,1,0.9466666666666667,0.9899576206619582,0.9983374929702165,0.9734792262946674,0.5730299119799026,0.9755656046920296,0.7541709737003598
gymnodinium,alexandrium fundyense,26,214.0,5.891343294850063,4590,0.22608695652173913,0.18749935925006866,2.126119613647461,241.12765961444583,30,26,214.0,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;biosynthesis;clade;cyanobacteria;dinoflagellates;each toxin;genes involved;genus alexandrium;gonyautoxins;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;strains of alexandrium;sxta;temperature;toxin composition;toxin production;toxin profile,0,0.9966666666666667,0.9881369810253645,0.9968519092522885,0.9924203481045778,0.5568718439868819,0.9945926695295433,0.7538462154810797
sxta,gonyautoxins,26,240.0,6.1194831813966015,11236,0.13978494623655913,0.0772828534245491,2.0467753410339355,261.355606356655,37,24,236.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;cellular toxin;dinoflagellates;gene cluster;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;phylogeny;producing dinoflagellates;saxitoxin;strains of alexandrium;toxic dinoflagellate;toxin content;toxin production;toxin profile,0,0.8166666666666667,0.9258965068328276,0.9998419264871558,0.889599112731796,0.6189551313800067,0.8913048953551773,0.7415125251688335
toxin profile,cyanobacteria,29,259.0,7.182943209733505,11397,0.15343915343915343,0.04523410275578499,2.2668991088867188,259.779034237361,29,26,252.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium spp;alexandrium tamarense;dinoflagellates;environmental conditions;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellate;producing dinoflagellates;saxitoxin-producing dinoflagellates;sxta;toxic dinoflagellate;toxic species;toxin analogues;toxin production,1,0.8633333333333333,0.8977962321581296,0.999984052644416,0.8942298546768397,0.6141163416983096,0.8959566487264079,0.7409444798609539
gymnodinium catenatum,phosphorus,22,205.0,4.870690489476493,4488,0.18803418803418803,0.21776747703552246,1.946555256843567,229.46252332008103,32,22,205.0,alexandrium;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;dinoflagellates;each toxin;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;strains of alexandrium;sxta;sxtg;temperature;toxin composition;toxin content;toxin production;toxin profile,1,0.98,0.9876400373059062,0.9895275420869615,0.9847727728616493,0.5210693961026471,0.9869103943476778,0.7306978453129109
alexandrium tamarense,sxt genes,23,217.0,5.792473433086182,4730,0.17692307692307693,0.18359720706939697,2.1157336235046387,226.1948985282043,25,23,217.0,alexandrium;biosynthesis;cyanobacteria;cyanobacteria and dinoflagellates;dinoflagellates;freshwater cyanobacteria;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;involved in stx;paralytic shellfish poisoning;phylogeny;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;stx synthesis;stx-producing;sxta;toxic cyanobacteria;toxic species;toxin synthesis,0,0.9966666666666667,0.9881369810253645,0.9997331095699274,0.9927084681363416,0.511040454874338,0.9948820968707733,0.728769193772734
temperature,producing dinoflagellates,23,236.0,5.155666858188944,5304,0.1885245901639344,0.1818440705537796,2.0424184799194336,229.9902078812437,23,23,236.0,alexandrium;alexandrium fundyense;alexandrium minutum;alexandrium ostenfeldii;alexandrium tamarense;biosynthesis;dinoflagellates;genus alexandrium;gonyautoxins;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;pyrodinium;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;toxin composition;toxin content;toxin production;toxin profile,0,0.96,0.9812773724027056,0.9910730827647585,0.9737459944778287,0.5226889570339213,0.975833583303251,0.7266040388551197
biosynthesis,toxic dinoflagellate,25,212.0,5.992694325016065,4982,0.20491803278688525,0.19469070434570312,2.0964479446411133,224.61114966744867,28,23,204.0,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;cellular toxin;cyanobacteria;dinoflagellates;environmental conditions;genus alexandrium;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;pyrodinium bahamense;saxitoxin;stx-producing;sxt gene;sxta;temperature;toxin analogues;toxin composition;toxin content;toxin production,1,0.9933333333333333,0.9911648406245516,0.9995246419957418,0.9928682178451833,0.5061796384536751,0.9950425714244143,0.7261679582905078
toxin production,producing dinoflagellate,29,177.0,7.186371124336626,4601,0.2396694214876033,0.21631963551044464,2.0739729404449463,222.65303065456263,31,26,171.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin biosynthesis;saxitoxin synthesis;sxta;sxtg;toxic species;toxin producing;toxin profile;toxin-producing,0,0.99,0.9911648406245516,0.999985926555851,0.9915810129678608,0.5001698112094063,0.9937495260121217,0.7222806828706283
gymnodinium,nitrogen,23,224.0,5.145414012954396,6570,0.16428571428571428,0.12900720536708832,2.1123430728912354,238.0480002652596,30,23,224.0,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;each toxin;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin analogues;strains of alexandrium;sxta;sxtg;temperature;toxin composition;toxin content;toxin production;toxin profile,1,0.8533333333333334,0.9425798238947793,0.9903362617763121,0.9116568714583543,0.5474198032590165,0.9134627384688236,0.7121391241034298
alexandrium minutum,pyrodinium,22,145.0,5.359142728154968,2553,0.2619047619047619,0.30430281162261963,2.15313982963562,212.6694567287992,38,22,145.0,alexandrium;cyanobacteria;dinoflagellates;evolution;gene copy;gene copy number;genus alexandrium;gymnodinium;gymnodinium catenatum;light;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;salinity;saxitoxin;saxitoxin biosynthesis;starting gene;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0,1.0,0.9915664795755306,0.9985774539100691,0.9956409851787722,0.46952838738410385,0.9978279198512393,0.7072631769943147
toxin production,alexandrium pacificum,15,325.0,3.4174373751017315,2461,0.13043478260869565,0.3184269368648529,1.754526972770691,242.7235698859437,18,15,325.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;gene cluster;genes involved;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxta;toxic species;toxin synthesis,1,0.7966666666666666,0.9243211037118155,0.9369872711817537,0.8745259456407498,0.561769986012948,0.8761633356088081,0.7032469933310851
alexandrium minutum,sxt genes,17,249.0,3.86628806053683,2967,0.17894736842105263,0.23825258016586304,2.0788357257843018,226.1877133067698,26,17,249.0,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;evolution;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta;sxta and sxtg;sxtg;toxic species,1,0.8966666666666666,0.9585152195151355,0.8955592126314262,0.9274801976873771,0.5110184021087762,0.9293578611086676,0.6992711586587275
biosynthesis,pyrodinium,21,150.0,4.969583204447092,3478,0.19090909090909092,0.25041159987449646,2.2096188068389893,210.1153184919617,37,21,150.0,alexandrium;clade;cyanobacteria;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;pyrodinium bahamense;saxitoxin;saxitoxin biosynthesis;saxitoxin biosynthetic;stx-producing;sxt genes;sxta;temperature;toxin content;toxin production,1,0.9866666666666667,0.986181414964915,0.9951088821959513,0.9872682623687195,0.4616892675653598,0.9894172068337004,0.6991668402361131
alexandrium minutum,pyrodinium bahamense,18,193.0,4.049481383891517,2139,0.2222222222222222,0.24978403747081757,2.1840813159942627,222.63584518381984,37,18,193.0,alexandrium;biosynthesis;dinoflagellates;evolution;genus alexandrium;gymnodinium;gymnodinium catenatum;light;paralytic shellfish poisoning;producing dinoflagellates;salinity;saxitoxin;saxitoxin biosynthesis;sxta;temperature;toxic dinoflagellate;toxin content;toxin production,0,0.97,0.924869662619501,0.868671891561227,0.9373020204658732,0.5001170658402045,0.9392242492088294,0.6977152983560858
alexandrium catenella,sxtg,19,200.0,4.348934125647254,3315,0.1958762886597938,0.2817094922065735,1.9108374118804932,215.2500476458688,30,19,200.0,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;gene expression;genes involved;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;saxitoxin;saxitoxin biosynthesis;stx-producing;sxta;toxin production;toxin synthesis,1,0.9566666666666667,0.9568939403441458,0.9877872769876218,0.9598923645375017,0.4774486953417182,0.9619170942085234,0.6954594748317806
alexandrium fundyense,sxtg,20,174.0,4.571163264848748,2601,0.24390243902439024,0.3048796057701111,2.0260634422302246,204.8213034162364,30,20,174.0,alexandrium;alexandrium minutum;biosynthesis;cyanobacteria;dinoflagellates;genes involved;genus alexandrium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin synthesis;sxta;toxin production;toxin synthesis,0,1.0,0.9917349699794037,0.9847668185076697,0.9943441668404689,0.4454409620107499,0.9965252173580605,0.6934288769170397
alexandrium tamarense,evolution,28,152.0,7.112760931762061,5830,0.208955223880597,0.1342829018831253,2.305387496948242,213.84221425879812,28,28,152.0,alexandrium;alexandrium minutum;biosynthesis;cyanobacteria;cyanobacteria and dinoflagellates;dinoflagellates;freshwater cyanobacteria;genus alexandrium;gymnodinium;gymnodinium catenatum;homologs;involved in stx;paralytic shellfish poisoning;paralytic shellfish toxins;phylogeny;poisoning toxin;producing dinoflagellates;psp toxin profile;saxitoxin biosynthesis;saxitoxin synthesis;shellfish poisoning toxin;species of alexandrium;stx-producing;sxta;toxin production,0,0.8933333333333333,0.9505648897866475,0.9999824588897118,0.9326140241156283,0.47312779585127396,0.9345149816475244,0.6807520294595868
gymnodinium catenatum,toxic dinoflagellate,22,192.0,4.9592016315124425,4664,0.18487394957983194,0.20078083872795105,2.0529613494873047,203.2868061893157,22,22,192.0,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;cyanobacteria;dcstx;dinoflagellates;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;pyrodinium;pyrodinium bahamense;saxitoxin;stx-producing;sxta;temperature;toxin analogues;toxin composition;toxin content;toxin production;toxin profile,0,0.9333333333333333,0.9875782464577378,0.9910856416577064,0.9662310207279728,0.4407313079090769,0.968284511277543,0.6781302494248866
saxitoxin biosynthesis,toxin composition,18,318.0,3.9746377358110507,5963,0.13138686131386862,0.10143144428730011,2.1154561042785645,248.44558928678745,21,17,314.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;temperature;toxin content;toxin production,0,0.7166666666666667,0.8529981648622763,0.819174652081944,0.7950832143059993,0.5793319155285297,0.7963601425801563,0.6769946177017617
gymnodinium,phylogeny,25,114.0,5.954674809000465,3060,0.25252525252525254,0.21179868280887604,2.1571619510650635,193.0977377952607,32,25,114.0,alexandrium;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;evolution;gene transfer;genus alexandrium;gonyautoxins;horizontal gene;horizontal gene transfer;neosaxitoxin;paralytic shellfish poisoning;paralytic shellfish toxins;paralytic toxin;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;species of alexandrium;sxt genes;sxta;sxtg;toxin content;toxin production;toxin profile,0,0.9933333333333333,0.9889173089298151,0.9992619562224326,0.9917181834204841,0.40945918378110735,0.993887318858926,0.6724518445661258
alexandrium pacificum,cyanobacteria,16,239.0,3.8198669794835762,2001,0.1702127659574468,0.33859172463417053,1.971450686454773,200.83773841459188,17,16,239.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;gene cluster;genes involved;paralytic shellfish poisoning;paralytic shellfish toxins;produce saxitoxin;saxitoxin;saxitoxin biosynthesis;sxta;toxic species;toxin synthesis,1,0.9233333333333333,0.9856774583577633,0.9748913485269086,0.9596611973649058,0.43321466865541747,0.9616848781431061,0.6710262629248773
gymnodinium,phosphorus,21,164.0,4.61635571133245,4590,0.175,0.17693710327148438,1.9920388460159302,204.2086407412172,31,21,164.0,alexandrium;alexandrium minutum;alexandrium tamarense;biosynthesis;dinoflagellates;each toxin;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;strains of alexandrium;sxta;sxtg;temperature;toxin composition;toxin content;toxin production;toxin profile,1,0.8966666666666666,0.9805088898991503,0.981230679630518,0.9470441795792937,0.4435605876251042,0.9490106121797618,0.6710130986747002
gymnodinium catenatum,phylogeny,24,114.0,5.64774713257033,2992,0.24489795918367346,0.22563570737838745,2.1424386501312256,192.14078122056264,33,24,114.0,alexandrium;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;evolution;gene transfer;genus alexandrium;gonyautoxins;horizontal gene;horizontal gene transfer;neosaxitoxin;paralytic shellfish poisoning;paralytic shellfish toxins;paralytic toxin;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxt genes;sxta;sxtg;toxin content;toxin production;toxin profile,0,0.9933333333333333,0.9889173089298151,0.9984770419570179,0.9916396919939426,0.4065221081200494,0.99380847128712,0.6708009715452312
alexandrium catenella,phosphorus,20,187.0,4.454679147773471,3315,0.20833333333333334,0.18841694295406342,1.9732301235198975,205.2467030331452,31,18,183.0,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;saxitoxin;saxitoxin biosynthesis;sxta;temperature;toxin composition;toxin content;toxin production;toxin profile,0,0.94,0.936649561999629,0.9662092681393498,0.9409457078137494,0.4467465916433594,0.9428844693431719,0.6700086366082751
toxin content,producing dinoflagellate,23,157.0,5.397006273874845,4773,0.17692307692307693,0.11675894260406494,2.346773624420166,201.2660190946049,30,22,155.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;dcstx;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta;toxin profile;toxin-producing;toxins were analyzed,0,0.94,0.9604140303243668,0.9938350332305157,0.955590518485235,0.43452914080036775,0.9575957290550268,0.6699091055149644
gymnodinium,toxic dinoflagellate,22,168.0,4.9592016315124425,4770,0.18181818181818182,0.21843549609184265,2.026019334793091,189.2997901849112,21,22,168.0,alexandrium;alexandrium catenella;alexandrium minutum;alexandrium tamarense;cyanobacteria;dcstx;dinoflagellates;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;pyrodinium;pyrodinium bahamense;saxitoxin;stx-producing;sxta;temperature;toxin analogues;toxin composition;toxin content;toxin production;toxin profile,0,0.98,0.9875782464577378,0.9941364917848653,0.9852027724073554,0.3978025843248044,0.9873423449638219,0.6630954766123622
cyanobacteria,phosphorus,22,146.0,5.3552518974774355,4437,0.1896551724137931,0.25978413224220276,2.078904628753662,187.5194539620978,29,20,142.0,alexandrium;alexandrium fundyense;alexandrium minutum;alexandrium spp;alexandrium tamarense;biosynthesis;dinoflagellates;environmental conditions;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellate;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;saxitoxin-producing dinoflagellates;sxta;sxta and sxtg;sxtg;toxin production,0,0.99,0.9910884665019359,0.9994458761404229,0.9914888208650103,0.3923384051480482,0.9936569155988607,0.6629317348509138
cyanobacteria,gonyautoxins,26,192.0,6.397905156740335,9222,0.15568862275449102,0.08758506178855896,2.2549149990081787,209.8360277543306,25,23,185.0,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium minutum;alexandrium tamarense;biosynthesis;dinoflagellates;environmental conditions;gene cluster;genus alexandrium;gymnodinium;gymnodinium catenatum;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phylogenetic analysis;phylogeny;producing dinoflagellates;saxitoxin;saxitoxin-producing dinoflagellates;toxic dinoflagellate;toxin analogues;toxin production,0,0.8933333333333333,0.8977962321581296,0.9999158076918905,0.9062230301815871,0.46083207294488904,0.9080042418007059,0.6620595489300066
toxic dinoflagellate,phosphorus,23,157.0,5.6087064647170894,2703,0.2839506172839506,0.3396572172641754,1.8745204210281372,185.0699874891797,24,21,152.0,alexandrium;alexandrium minutum;alexandrium spp;alexandrium tamarense;cellular toxin;dinoflagellates;environmental conditions;gonyautoxins;growth and toxin;growth and toxin production;light;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;temperature;toxin composition;toxin content;toxin production;toxin profile,0,1.0,0.9933882260505853,0.999725349549877,0.9966666479802804,0.3848205422163312,0.9988582364724815,0.6611375046315988
