Source,Target,Relation,Source_Type,Target_Type,Weight,Paper_Count,Paper_IDs,Years,Edge_Key
dinoflagellates,saxitoxin,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,37,37,18728730;19041661;1908861;19331657;19632259;21625593;22628533;22983012;23335767;23423950;23966031;24718696;25046082;27796937;27817832;28040101;28836116;29027912;29970250;30983320;32033403;32593754;33069750;33189391;33298362;35031458;35198665;35323466;36689843;36965430;38705616;38943258;39545400;40449983;40700944;41591172;41702991,1991.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('dinoflagellates', 'saxitoxin')"
cyanobacteria,temperature,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,36,33,12539139;22386459;22921397;23892224;24333522;24334673;26888523;29027918;30104548;30170723;30380769;30650549;30831427;31341744;31358272;33401417;33875183;33946968;33980451;34442662;34848287;36136576;36399599;36629970;36689843;36850993;38393148;38754694;39195450;39265222;40209228;40279773;41224183,2003.0;2012.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'temperature')"
cyanobacteria,toxin production,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,33,33,10858510;12957964;15342114;18461783;22960450;22983012;23648386;23891539;26091875;26164741;27418325;27907126;28073477;28737704;29933577;30079124;30170723;30243795;31614508;31695119;32272622;32290496;32708114;33128150;33980451;34200983;35198665;35622541;36470600;36470609;38786590;39545400;41334952,2000.0;2003.0;2004.0;2008.0;2012.0;2013.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2024.0;2025.0,"('cyanobacteria', 'toxin production')"
biosynthesis,dinoflagellates,SEMANTIC_CO_OCCURS,TAXON_GROUP,BIOLOGICAL_MECHANISM,33,29,19484122;20479965;20935128;23335767;23966031;25421324;26239440;26316331;26347118;26417864;27817832;28073499;28678186;29027912;30296060;30983320;31527551;32033403;33084210;35031458;35198665;36689843;38270276;38705616;38943258;40449983;40710502;41591172;41702991,2009.0;2010.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('biosynthesis', 'dinoflagellates')"
biosynthesis,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,BIOLOGICAL_MECHANISM,32,29,14718552;18487408;18850059;20935128;22081581;23335767;23966031;24460188;26347118;26568470;27569199;27817832;28073499;28364328;29027918;29390180;29705145;31527551;32033403;34283333;35198665;36689843;38270276;38705616;38943258;40209228;40449983;41591172;41702991,2004.0;2008.0;2010.0;2012.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('biosynthesis', 'saxitoxin biosynthesis')"
cyanobacteria,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,TAXON_GROUP,31,31,10414862;10858510;11800428;12238500;12957964;15500853;16646002;19331657;19632259;19651152;19778550;21556170;21838624;22960450;23423950;23724809;25046082;28374313;29705145;30200645;30463170;30650549;30983320;31466003;32058687;32307073;32456077;33189391;39003021;39545400;40137908,1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2006.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2017.0;2018.0;2019.0;2020.0;2021.0;2024.0;2025.0,"('cyanobacteria', 'paralytic shellfish toxins')"
cyanobacteria,nitrogen,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,30,28,11800428;14969289;15892061;21034416;21076133;23892224;24460188;26568470;27034034;28073477;28073499;28574457;28771148;29027918;29791446;29957289;30079124;30792397;31358272;32090402;34023075;34754266;34848287;36470609;36689843;37164563;40209228;41334952,2001.0;2004.0;2005.0;2009.0;2010.0;2011.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2025.0,"('cyanobacteria', 'nitrogen')"
saxitoxin,saxitoxin biosynthesis,TOXIN_MECHANISM_RELATION,TOXIN,BIOLOGICAL_MECHANISM,29,29,14718552;18487408;18850059;20935128;22081581;23335767;23966031;24460188;26347118;26568470;27569199;27817832;28073499;28364328;29027918;29390180;29705145;31527551;32033403;34283333;35198665;36689843;38270276;38705616;38943258;40209228;40449983;41591172;41702991,2004.0;2008.0;2010.0;2012.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('saxitoxin', 'saxitoxin biosynthesis')"
biosynthesis,paralytic shellfish toxins,TOXIN_MECHANISM_RELATION,TOXIN,BIOLOGICAL_MECHANISM,28,28,19331657;20479965;21347365;23850895;24334673;24956074;25421324;25825710;26239440;26316331;26347118;26417864;27474710;27569199;27817832;28678186;28797629;29027912;29705145;30296060;30983320;32058687;32070286;32307073;32532989;33084210;38270276;40710502,2009.0;2010.0;2011.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2024.0;2025.0,"('biosynthesis', 'paralytic shellfish toxins')"
alexandrium,cyanobacteria,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,26,26,12565757;20714432;21625593;23335767;23724809;25421324;26239440;26417864;26842222;27817832;28040101;28073499;28604648;28678186;32593754;33298362;33875176;33875178;33875185;35031458;35323466;36326655;36689843;38270276;38705616;40449983,2003.0;2010.0;2011.0;2013.0;2014.0;2015.0;2016.0;2017.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0,"('alexandrium', 'cyanobacteria')"
alexandrium,dinoflagellates,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,26,26,12565757;20714432;21625593;23335767;23724809;24718696;25421324;26239440;26417864;26842222;27817832;28040101;28073499;28604648;28678186;32593754;33298362;33875176;33875185;35031458;35323466;36326655;36689843;38270276;38705616;40449983,2003.0;2010.0;2011.0;2013.0;2014.0;2015.0;2016.0;2017.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0,"('alexandrium', 'dinoflagellates')"
saxitoxin,toxin production,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,26,26,10858510;15342114;22983012;23648386;24956074;26091875;26164741;27907126;28073499;28797629;29933577;30079124;30170723;30243795;31695119;32290496;32708114;33128150;33980451;34200983;35198665;35622541;36470600;36470609;39545400;41334952,2000.0;2004.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2025.0,"('saxitoxin', 'toxin production')"
cyanobacteria,toxin-producing,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN_PHENOTYPE,25,25,14766924;16650472;16710515;19627483;22081581;23648419;23891539;24334673;26417864;26842222;27817832;28678186;31012060;31695119;31940734;31995862;32323358;33128150;34442662;35509523;36430059;36470600;36981972;39545400;41893572,2004.0;2006.0;2009.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2019.0;2020.0;2021.0;2022.0;2023.0;2025.0;2026.0,"('cyanobacteria', 'toxin-producing')"
dinoflagellates,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,25,25,12565757;18850059;1908861;19331657;19484122;20714432;21223973;21625593;22628533;23535394;23966031;28040101;28073499;28374313;32456077;33875185;35031458;35198665;36689843;38175940;39571800;40274765;40449983;40710502;41591172,1991.0;2003.0;2008.0;2009.0;2010.0;2011.0;2013.0;2014.0;2016.0;2017.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('dinoflagellates', 'paralytic shellfish poisoning')"
dinoflagellates,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,25,25,12957964;19041661;20479965;20714432;23457475;23535394;24747603;25421324;26239440;26316331;26347118;26417864;26842222;27817832;28678186;29027912;30296060;33084210;33875176;33875183;33875185;35323466;36326655;38270276;40710502,2003.0;2009.0;2010.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2021.0;2022.0;2024.0;2025.0,"('dinoflagellates', 'paralytic shellfish toxins')"
neosaxitoxin,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,25,25,10414862;11137533;12740803;16879849;1908861;19632259;20048055;21376073;21710505;24031789;24334673;25046082;25456236;25544652;27130970;27424100;27907126;28604648;29705145;30296060;31408752;35131565;37888642;40209228;6814018,1982.0;1991.0;1999.0;2001.0;2003.0;2006.0;2010.0;2011.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2022.0;2023.0;2025.0,"('neosaxitoxin', 'saxitoxin')"
dinoflagellates,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,TAXON_GROUP,24,24,12565757;18850059;19484122;19731715;20714432;20935128;21223973;22304436;23535394;26347118;26842222;28073499;28370934;28604648;28771148;30296060;31527551;33084210;34974311;38175940;38270276;39571800;40274765;40710502,2003.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2016.0;2017.0;2018.0;2019.0;2021.0;2022.0;2024.0;2025.0,"('dinoflagellates', 'saxitoxin')"
cyanobacteria,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,TAXON_GROUP,BIOLOGICAL_MECHANISM,23,23,14718552;18487408;20935128;22081581;24460188;26347118;26568470;27569199;27817832;28073499;28364328;29027918;29390180;29705145;31527551;32033403;34283333;35198665;36689843;38943258;40209228;41591172;41702991,2004.0;2008.0;2010.0;2012.0;2014.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'saxitoxin biosynthesis')"
nitrogen,saxitoxin,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,TOXIN,ENV_FACTOR,23,23,11800428;14969289;15892061;21076133;23892224;24460188;26568470;27034034;28073493;28073495;28073499;28771148;29027918;29791446;30079124;30792397;31358272;34023075;34754266;36470609;36689843;40209228;41334952,2001.0;2004.0;2005.0;2009.0;2011.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2021.0;2022.0;2023.0;2025.0,"('nitrogen', 'saxitoxin')"
saxitoxin,toxic cyanobacteria,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,23,22,10414862;16650472;16879849;20359802;21049989;21493030;23648386;24275084;24956074;25346253;28245621;28433693;30079124;30373126;30552354;33670338;33980444;34520086;34697712;36430059;36871331;38692315,1999.0;2006.0;2010.0;2011.0;2013.0;2014.0;2017.0;2018.0;2021.0;2022.0;2023.0;2024.0,"('saxitoxin', 'toxic cyanobacteria')"
saxitoxin,temperature,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,TOXIN,ENV_FACTOR,23,21,12539139;23892224;24333522;24334673;26888523;29027918;30170723;30380769;30831427;31341744;31358272;33401417;33980451;36399599;36629970;36689843;38393148;38754694;39265222;40209228;41224183,2003.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('saxitoxin', 'temperature')"
cyanobacteria,neosaxitoxin,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,21,21,10414862;11137533;16879849;19632259;21376073;21710505;24031789;24334673;25046082;25285689;25456236;25544652;27130970;27424100;27907126;28604648;29705145;30296060;37888642;39547124;40209228,1999.0;2001.0;2006.0;2010.0;2011.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2023.0;2024.0;2025.0,"('cyanobacteria', 'neosaxitoxin')"
cyanobacteria,sxta,SEMANTIC_CO_OCCURS,GENE,TAXON_GROUP,21,21,21223973;21625593;23335767;24015317;25421324;27907126;28073499;29027918;29390180;29705145;31936211;33084210;33298362;33526182;35031458;36689843;38705616;39003021;40449983;40935530;41702991,2011.0;2013.0;2014.0;2016.0;2017.0;2018.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'sxta')"
cyanobacteria,sxta,SEMANTIC_CO_OCCURS,TAXON_GROUP,GENE,21,21,19484122;20935128;22081581;22628533;24334673;26347118;27569199;29791446;30079124;30502809;31012060;33670338;34520086;35324712;38393148;39195743;39703700;39703858;39870345;40209228;41334952,2009.0;2010.0;2012.0;2013.0;2014.0;2016.0;2017.0;2018.0;2019.0;2021.0;2022.0;2024.0;2025.0,"('cyanobacteria', 'sxta')"
cyanobacteria,ph,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,20,20,12875872;14733387;14766924;15243648;15294806;19627483;19874838;25046082;26347118;28526117;30831427;31310856;32090402;33980451;36399599;36629970;36801032;38244903;38393148;41867601,2003.0;2004.0;2009.0;2010.0;2014.0;2016.0;2017.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2026.0,"('cyanobacteria', 'ph')"
cyanobacteria,phosphorus,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,20,20,15892061;21533636;23702304;26568470;28073499;28574457;29791446;29957289;30203964;30792397;31102855;31358272;31713695;32090402;34697712;34848287;38244903;40209228;41334952;41867601,2005.0;2011.0;2013.0;2016.0;2017.0;2018.0;2019.0;2020.0;2022.0;2024.0;2025.0;2026.0,"('cyanobacteria', 'phosphorus')"
saxitoxin,sxta,GENE_ASSOCIATED_WITH_TOXIN,GENE,TOXIN,20,20,20048055;22081581;24334673;27569199;27907126;29390180;29705145;29791446;30079124;30502809;31012060;31936211;33084210;33298362;33670338;34520086;35031458;36689843;39003021;41702991,2010.0;2012.0;2014.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2026.0,"('saxitoxin', 'sxta')"
paralytic shellfish poisoning,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,19,19,10858510;15719643;15892061;16646002;19041661;19331657;20101494;20714432;21376073;23457475;23535394;24334673;28374313;30650549;32456077;33875178;33875185;40710502;9251196,1997.0;2000.0;2005.0;2006.0;2009.0;2010.0;2011.0;2013.0;2014.0;2017.0;2019.0;2020.0;2021.0;2025.0,"('paralytic shellfish poisoning', 'paralytic shellfish toxins')"
climate change,cyanobacteria,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,18,18,28073477;29970250;30380769;33111925;33875185;33980428;35622541;35902522;36136576;37394567;38754694;38943258;39195450;39265222;39330836;39703700;41532809;41915567,2016.0;2018.0;2020.0;2021.0;2022.0;2023.0;2024.0;2026.0,"('climate change', 'cyanobacteria')"
ph,saxitoxin,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,TOXIN,ENV_FACTOR,18,18,14733387;14766924;15243648;15294806;19627483;25046082;26347118;30831427;31310856;33980451;35364510;36399599;36629970;36801032;38244903;38393148;41867601;6814018,1982.0;2003.0;2004.0;2009.0;2014.0;2016.0;2019.0;2021.0;2022.0;2023.0;2024.0;2026.0,"('ph', 'saxitoxin')"
saxitoxin,sxta,GENE_ASSOCIATED_WITH_TOXIN,TOXIN,GENE,18,18,19484122;20935128;21223973;21625593;22628533;23335767;24015317;26347118;28073499;29027918;30275378;33526182;38393148;38705616;39703858;40209228;40449983;41334952,2009.0;2010.0;2011.0;2013.0;2016.0;2017.0;2018.0;2021.0;2024.0;2025.0,"('saxitoxin', 'sxta')"
saxitoxin,toxin-producing,SEMANTIC_CO_OCCURS,TOXIN,TOXIN_PHENOTYPE,18,18,14766924;16650472;19118969;22081581;24718696;26842222;27817832;31012060;31695119;31940734;32323358;33128150;36430059;36470600;39305001;39545400;40424915;41893572,2004.0;2006.0;2009.0;2012.0;2014.0;2016.0;2019.0;2020.0;2021.0;2022.0;2024.0;2025.0;2026.0,"('saxitoxin', 'toxin-producing')"
biosynthesis,sxta,GENE_MECHANISM_RELATION,GENE,BIOLOGICAL_MECHANISM,17,17,19484122;20935128;22081581;24334673;25421324;26347118;27569199;28073499;29027918;29390180;29705145;33084210;35031458;36689843;39870345;40209228;40935530,2009.0;2010.0;2012.0;2014.0;2016.0;2017.0;2018.0;2021.0;2022.0;2023.0;2025.0,"('biosynthesis', 'sxta')"
gonyautoxins,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,17,17,12565757;15177951;15556220;19632259;19778550;20048055;21376073;21556170;22137456;27130970;27907126;28604648;29705145;30296060;33526182;35323466;35364510,2003.0;2004.0;2010.0;2011.0;2012.0;2016.0;2017.0;2018.0;2021.0;2022.0,"('gonyautoxins', 'saxitoxin')"
nitrogen,phosphorus,SEMANTIC_CO_OCCURS,ENV_FACTOR,ENV_FACTOR,17,15,15892061;23894552;24333522;26239440;26568470;28073499;28574457;29791446;29957289;30792397;31358272;32090402;34848287;40209228;41334952,2005.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2022.0;2025.0,"('nitrogen', 'phosphorus')"
cyanobacteria,environmental conditions,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,16,16,21076133;21820143;22081581;22429476;24956074;25346253;27418325;29933577;30170723;30961962;33608790;34697712;36689843;37394567;37678578;38401471,2011.0;2012.0;2013.0;2014.0;2016.0;2018.0;2019.0;2021.0;2022.0;2023.0;2024.0,"('cyanobacteria', 'environmental conditions')"
cyanobacteria,gonyautoxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,16,16,15177951;19632259;19778550;21376073;21556170;27130970;27907126;28374313;28604648;29705145;30296060;33526182;35323466;37678578;39547124;8599183,1995.0;2004.0;2010.0;2011.0;2016.0;2017.0;2018.0;2021.0;2022.0;2023.0;2024.0,"('cyanobacteria', 'gonyautoxins')"
biosynthesis,cyanobacteria,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,TAXON_GROUP,15,15,18850059;19331657;20479965;23335767;23966031;28073495;28678186;32033403;37394567;38270276;38705616;40449983;40710502;41591172;41702991,2008.0;2009.0;2010.0;2013.0;2016.0;2017.0;2020.0;2023.0;2024.0;2025.0;2026.0,"('biosynthesis', 'cyanobacteria')"
