source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key
CrossRef,,10.1002/aws2.1374,2024.0,"Determination of oxidation rate constant for nodularin‐r, saxitoxin, dc‐saxitoxin, and neo‐saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes","<jats:title>Abstract</jats:title><jats:sec><jats:label/><jats:p>The effectiveness of chemical oxidation depends on the type of cyanotoxins present in the water and varies with the water quality parameters. This study investigated four cyanotoxins to understand their reactions with conventional drinking water treatment plant oxidants and with advanced oxidation. Kinetic rate constants between saxitoxin, and two variants (dcSTX and neoSTX), and nodularin‐R with chlorine, monochloramine, permanganate, ozone, and hydroxyl radicals (UV‐H<jats:sub>2</jats:sub>O<jats:sub>2</jats:sub>) were developed under different pH and temperature conditions. Nodularin‐R kinetic rate constants were comparable to peer‐reviewed microcystin‐LR rate constants with reaction rates in the order of OH radicals &gt; ozone &gt;&gt; chlorine &gt; permanganate &gt;&gt; monochloramine. The speciation of saxitoxins with pH had a dominant effect on their reaction rates with the listed oxidants. Chlorine was the only oxidant effective for saxitoxins removal. The reaction rates of saxitoxins with OH radicals varied slightly with pH but were around two orders of magnitude less than microcystin‐LR's.</jats:p></jats:sec>",AWWA Water Science,Alexandrium saxitoxin,dinoflagellate_stx,,,10.1002/aws2.1374,,determination of oxidation rate constant for nodularin r saxitoxin dc saxitoxin and neo saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes,doi:10.1002/aws2.1374
CrossRef,,10.1002/aws2.1374,2024.0,"Determination of oxidation rate constant for nodularin‐r, saxitoxin, dc‐saxitoxin, and neo‐saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes","<jats:title>Abstract</jats:title><jats:sec><jats:label/><jats:p>The effectiveness of chemical oxidation depends on the type of cyanotoxins present in the water and varies with the water quality parameters. This study investigated four cyanotoxins to understand their reactions with conventional drinking water treatment plant oxidants and with advanced oxidation. Kinetic rate constants between saxitoxin, and two variants (dcSTX and neoSTX), and nodularin‐R with chlorine, monochloramine, permanganate, ozone, and hydroxyl radicals (UV‐H<jats:sub>2</jats:sub>O<jats:sub>2</jats:sub>) were developed under different pH and temperature conditions. Nodularin‐R kinetic rate constants were comparable to peer‐reviewed microcystin‐LR rate constants with reaction rates in the order of OH radicals &gt; ozone &gt;&gt; chlorine &gt; permanganate &gt;&gt; monochloramine. The speciation of saxitoxins with pH had a dominant effect on their reaction rates with the listed oxidants. Chlorine was the only oxidant effective for saxitoxins removal. The reaction rates of saxitoxins with OH radicals varied slightly with pH but were around two orders of magnitude less than microcystin‐LR's.</jats:p></jats:sec>",AWWA Water Science,Pyrodinium bahamense saxitoxin,dinoflagellate_stx,,,10.1002/aws2.1374,,determination of oxidation rate constant for nodularin r saxitoxin dc saxitoxin and neo saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes,doi:10.1002/aws2.1374
CrossRef,,10.1002/aws2.1374,2024.0,"Determination of oxidation rate constant for nodularin‐r, saxitoxin, dc‐saxitoxin, and neo‐saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes","<jats:title>Abstract</jats:title><jats:sec><jats:label/><jats:p>The effectiveness of chemical oxidation depends on the type of cyanotoxins present in the water and varies with the water quality parameters. This study investigated four cyanotoxins to understand their reactions with conventional drinking water treatment plant oxidants and with advanced oxidation. Kinetic rate constants between saxitoxin, and two variants (dcSTX and neoSTX), and nodularin‐R with chlorine, monochloramine, permanganate, ozone, and hydroxyl radicals (UV‐H<jats:sub>2</jats:sub>O<jats:sub>2</jats:sub>) were developed under different pH and temperature conditions. Nodularin‐R kinetic rate constants were comparable to peer‐reviewed microcystin‐LR rate constants with reaction rates in the order of OH radicals &gt; ozone &gt;&gt; chlorine &gt; permanganate &gt;&gt; monochloramine. The speciation of saxitoxins with pH had a dominant effect on their reaction rates with the listed oxidants. Chlorine was the only oxidant effective for saxitoxins removal. The reaction rates of saxitoxins with OH radicals varied slightly with pH but were around two orders of magnitude less than microcystin‐LR's.</jats:p></jats:sec>",AWWA Water Science,Alexandrium temperature saxitoxin,dinoflagellate_stx,,,10.1002/aws2.1374,,determination of oxidation rate constant for nodularin r saxitoxin dc saxitoxin and neo saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes,doi:10.1002/aws2.1374
CrossRef,,10.1002/aws2.1374,2024.0,"Determination of oxidation rate constant for nodularin‐r, saxitoxin, dc‐saxitoxin, and neo‐saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes","<jats:title>Abstract</jats:title><jats:sec><jats:label/><jats:p>The effectiveness of chemical oxidation depends on the type of cyanotoxins present in the water and varies with the water quality parameters. This study investigated four cyanotoxins to understand their reactions with conventional drinking water treatment plant oxidants and with advanced oxidation. Kinetic rate constants between saxitoxin, and two variants (dcSTX and neoSTX), and nodularin‐R with chlorine, monochloramine, permanganate, ozone, and hydroxyl radicals (UV‐H<jats:sub>2</jats:sub>O<jats:sub>2</jats:sub>) were developed under different pH and temperature conditions. Nodularin‐R kinetic rate constants were comparable to peer‐reviewed microcystin‐LR rate constants with reaction rates in the order of OH radicals &gt; ozone &gt;&gt; chlorine &gt; permanganate &gt;&gt; monochloramine. The speciation of saxitoxins with pH had a dominant effect on their reaction rates with the listed oxidants. Chlorine was the only oxidant effective for saxitoxins removal. The reaction rates of saxitoxins with OH radicals varied slightly with pH but were around two orders of magnitude less than microcystin‐LR's.</jats:p></jats:sec>",AWWA Water Science,Alexandrium transcriptome saxitoxin,dinoflagellate_stx,,,10.1002/aws2.1374,,determination of oxidation rate constant for nodularin r saxitoxin dc saxitoxin and neo saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes,doi:10.1002/aws2.1374
CrossRef,,10.1002/aws2.1374,2024.0,"Determination of oxidation rate constant for nodularin‐r, saxitoxin, dc‐saxitoxin, and neo‐saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes","<jats:title>Abstract</jats:title><jats:sec><jats:label/><jats:p>The effectiveness of chemical oxidation depends on the type of cyanotoxins present in the water and varies with the water quality parameters. This study investigated four cyanotoxins to understand their reactions with conventional drinking water treatment plant oxidants and with advanced oxidation. Kinetic rate constants between saxitoxin, and two variants (dcSTX and neoSTX), and nodularin‐R with chlorine, monochloramine, permanganate, ozone, and hydroxyl radicals (UV‐H<jats:sub>2</jats:sub>O<jats:sub>2</jats:sub>) were developed under different pH and temperature conditions. Nodularin‐R kinetic rate constants were comparable to peer‐reviewed microcystin‐LR rate constants with reaction rates in the order of OH radicals &gt; ozone &gt;&gt; chlorine &gt; permanganate &gt;&gt; monochloramine. The speciation of saxitoxins with pH had a dominant effect on their reaction rates with the listed oxidants. Chlorine was the only oxidant effective for saxitoxins removal. The reaction rates of saxitoxins with OH radicals varied slightly with pH but were around two orders of magnitude less than microcystin‐LR's.</jats:p></jats:sec>",AWWA Water Science,saxitoxin evolution dinoflagellates,dinoflagellate_stx,,,10.1002/aws2.1374,,determination of oxidation rate constant for nodularin r saxitoxin dc saxitoxin and neo saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes,doi:10.1002/aws2.1374
CrossRef,,10.1002/aws2.1374,2024.0,"Determination of oxidation rate constant for nodularin‐r, saxitoxin, dc‐saxitoxin, and neo‐saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes","<jats:title>Abstract</jats:title><jats:sec><jats:label/><jats:p>The effectiveness of chemical oxidation depends on the type of cyanotoxins present in the water and varies with the water quality parameters. This study investigated four cyanotoxins to understand their reactions with conventional drinking water treatment plant oxidants and with advanced oxidation. Kinetic rate constants between saxitoxin, and two variants (dcSTX and neoSTX), and nodularin‐R with chlorine, monochloramine, permanganate, ozone, and hydroxyl radicals (UV‐H<jats:sub>2</jats:sub>O<jats:sub>2</jats:sub>) were developed under different pH and temperature conditions. Nodularin‐R kinetic rate constants were comparable to peer‐reviewed microcystin‐LR rate constants with reaction rates in the order of OH radicals &gt; ozone &gt;&gt; chlorine &gt; permanganate &gt;&gt; monochloramine. The speciation of saxitoxins with pH had a dominant effect on their reaction rates with the listed oxidants. Chlorine was the only oxidant effective for saxitoxins removal. The reaction rates of saxitoxins with OH radicals varied slightly with pH but were around two orders of magnitude less than microcystin‐LR's.</jats:p></jats:sec>",AWWA Water Science,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/aws2.1374,,determination of oxidation rate constant for nodularin r saxitoxin dc saxitoxin and neo saxitoxin with conventional water treatment plant oxidants and advanced oxidation processes,doi:10.1002/aws2.1374
OpenAlex,,10.1002/brv.70153,2026.0,Fear of grazing rivals the toxin‐inducing effects of nutrients in two marine harmful algae – a meta‐analysis,"One of the major subfields of chemical ecology is the study of toxins and how they mediate interactions between organisms. Toxins produced by harmful algae (phycotoxins) impact a wide variety of organisms connected to the marine food web. Significant research efforts have thus aimed to identify the ecological and evolutionary drivers behind harmful algal blooms (HABs) to facilitate their forecasting, mitigation, and management. Nutrient availability is a key factor controlling growth and toxin production. Additionally, recent evidence has shown that harmful algae can sense the presence of zooplankton grazers, primarily copepods, and respond by dramatically increasing toxin production. Phycotoxin production is consequently controlled by a combination of bottom-up and top-down drivers, but the relative importance of the two is not understood. We therefore conducted a meta-analysis of 113 control-treatment contrasts from 37 peer-reviewed experimental studies, comparing the effects of relative nitrogen enrichment (defined here as an increased nitrogen: phosphorus ratio relative to control) and elevated grazing risk (exposure to zooplankton grazers or their chemical cues) on phycotoxin induction. We focused on the two most studied marine HAB-forming genera, Alexandrium dinoflagellates and Pseudo-nitzschia diatoms. We show that phycotoxins are induced in response to both relative nitrogen enrichment and elevated grazing risk. Although both genera responded similarly to relative nitrogen enrichment, Pseudo-nitzschia toxins increased 10 times more than Alexandrium toxins in response to grazers. Grazing risk thus appears to rival, perhaps even supersede, the well-established phycotoxin-inducing effect of relative nitrogen enrichment in marine harmful algae. Although this analysis is limited to the two most-studied marine HAB genera, we conclude that future attempts to understand the evolution and variable production of phycotoxins require integration of bottom-up nutrient availability and top-down selective pressures to elucidate phycotoxin dynamics in marine HAB-forming species.",Biological reviews/Biological reviews of the Cambridge Philosophical Society,Alexandrium nitrogen toxin production,dinoflagellate_stx,https://openalex.org/W7134171726,,10.1002/brv.70153,,fear of grazing rivals the toxin inducing effects of nutrients in two marine harmful algae a meta analysis,doi:10.1002/brv.70153
PubMed,38270276.0,10.1002/chem.202304238,2024.0,"Synthesis and Identification of decarbamoyloxySaxitoxins in Toxic Microalgae and their Reactions with the Oxygenase, SxtT, Reveal Saxitoxin Biosynthesis.","Saxitoxin (STX, 1) is a representative compound of paralytic shellfish toxins (PSTs) that are produced by marine dinoflagellates and freshwater cyanobacteria. Although several pathways have been proposed for the biosynthesis of STX, the order of ring and side chain hydroxylation, and formation of the tricyclic skeleton have not been well established. In this study, 12,12-dideoxy-decarbamoyloxySTX (dd-doSTX, 2), the most reduced STX analogue having the tricyclic skeleton, and its analogues, 12β-deoxy-doSTX (12β-d-doSTX, 3), 12α-deoxy-doSTX (12α-d-doSTX, 4), and doSTX (5), were synthesized, and these compounds were screened in the toxic microalgae using high-resolution LCMSMS. dd-doSTX (2) and 12β-d-doSTX (3) were identified in the PSTs-producing dinoflagellates (Alexandrium catenella, A. pacificum, and/or Gymnodinium catenatum) and in the cyanobacterium Dolichospermum circinale (TA04). doSTX (5), previously isolated from the dinoflagellate G. catenatum, was also identified in D. circinale (TA04). Furthermore, the conversion of 2 to 3, and 4 to 5, by SxtT with VanB, a reported Rieske oxygenase and its redox partner in STX biosynthesis, was confirmed. These results support that 2 is a possible biosynthetic precursor of STX, and that ring and side-chain hydroxylations proceed after cyclization.","Chemistry (Weinheim an der Bergstrasse, Germany)",Alexandrium saxitoxin,dinoflagellate_stx,,,10.1002/chem.202304238,38270276.0,synthesis and identification of decarbamoyloxysaxitoxins in toxic microalgae and their reactions with the oxygenase sxtt reveal saxitoxin biosynthesis,doi:10.1002/chem.202304238
PubMed,38270276.0,10.1002/chem.202304238,2024.0,"Synthesis and Identification of decarbamoyloxySaxitoxins in Toxic Microalgae and their Reactions with the Oxygenase, SxtT, Reveal Saxitoxin Biosynthesis.","Saxitoxin (STX, 1) is a representative compound of paralytic shellfish toxins (PSTs) that are produced by marine dinoflagellates and freshwater cyanobacteria. Although several pathways have been proposed for the biosynthesis of STX, the order of ring and side chain hydroxylation, and formation of the tricyclic skeleton have not been well established. In this study, 12,12-dideoxy-decarbamoyloxySTX (dd-doSTX, 2), the most reduced STX analogue having the tricyclic skeleton, and its analogues, 12β-deoxy-doSTX (12β-d-doSTX, 3), 12α-deoxy-doSTX (12α-d-doSTX, 4), and doSTX (5), were synthesized, and these compounds were screened in the toxic microalgae using high-resolution LCMSMS. dd-doSTX (2) and 12β-d-doSTX (3) were identified in the PSTs-producing dinoflagellates (Alexandrium catenella, A. pacificum, and/or Gymnodinium catenatum) and in the cyanobacterium Dolichospermum circinale (TA04). doSTX (5), previously isolated from the dinoflagellate G. catenatum, was also identified in D. circinale (TA04). Furthermore, the conversion of 2 to 3, and 4 to 5, by SxtT with VanB, a reported Rieske oxygenase and its redox partner in STX biosynthesis, was confirmed. These results support that 2 is a possible biosynthetic precursor of STX, and that ring and side-chain hydroxylations proceed after cyclization.","Chemistry (Weinheim an der Bergstrasse, Germany)",Gymnodinium catenatum saxitoxin,dinoflagellate_stx,,,10.1002/chem.202304238,38270276.0,synthesis and identification of decarbamoyloxysaxitoxins in toxic microalgae and their reactions with the oxygenase sxtt reveal saxitoxin biosynthesis,doi:10.1002/chem.202304238
OpenAlex,,10.1002/chem.202304238,2024.0,"Synthesis and Identification of decarbamoyloxySaxitoxins in Toxic Microalgae and their Reactions with the Oxygenase, SxtT, Reveal Saxitoxin Biosynthesis","Saxitoxin (STX, 1) is a representative compound of paralytic shellfish toxins (PSTs) that are produced by marine dinoflagellates and freshwater cyanobacteria. Although several pathways have been proposed for the biosynthesis of STX, the order of ring and side chain hydroxylation, and formation of the tricyclic skeleton have not been well established. In this study, 12,12-dideoxy-decarbamoyloxySTX (dd-doSTX, 2), the most reduced STX analogue having the tricyclic skeleton, and its analogues, 12β-deoxy-doSTX (12β-d-doSTX, 3), 12α-deoxy-doSTX (12α-d-doSTX, 4), and doSTX (5), were synthesized, and these compounds were screened in the toxic microalgae using high-resolution LCMSMS. dd-doSTX (2) and 12β-d-doSTX (3) were identified in the PSTs-producing dinoflagellates (Alexandrium catenella, A. pacificum, and/or Gymnodinium catenatum) and in the cyanobacterium Dolichospermum circinale (TA04). doSTX (5), previously isolated from the dinoflagellate G. catenatum, was also identified in D. circinale (TA04). Furthermore, the conversion of 2 to 3, and 4 to 5, by SxtT with VanB, a reported Rieske oxygenase and its redox partner in STX biosynthesis, was confirmed. These results support that 2 is a possible biosynthetic precursor of STX, and that ring and side-chain hydroxylations proceed after cyclization.",Chemistry - A European Journal,Gymnodinium catenatum saxitoxin,dinoflagellate_stx,https://openalex.org/W4391229609,,10.1002/chem.202304238,,synthesis and identification of decarbamoyloxysaxitoxins in toxic microalgae and their reactions with the oxygenase sxtt reveal saxitoxin biosynthesis,doi:10.1002/chem.202304238
CrossRef,,10.1002/chemv.201700023,2017.0,Biosynthesis of Saxitoxin,,ChemViews,Alexandrium saxitoxin,dinoflagellate_stx,,,10.1002/chemv.201700023,,biosynthesis of saxitoxin,doi:10.1002/chemv.201700023
CrossRef,,10.1002/chemv.201700023,2017.0,Biosynthesis of Saxitoxin,,ChemViews,Pyrodinium bahamense saxitoxin,dinoflagellate_stx,,,10.1002/chemv.201700023,,biosynthesis of saxitoxin,doi:10.1002/chemv.201700023
CrossRef,,10.1002/chemv.201700023,2017.0,Biosynthesis of Saxitoxin,,ChemViews,saxitoxin biosynthesis genes dinoflagellate,dinoflagellate_stx,,,10.1002/chemv.201700023,,biosynthesis of saxitoxin,doi:10.1002/chemv.201700023
CrossRef,,10.1002/chemv.201700023,2017.0,Biosynthesis of Saxitoxin,,ChemViews,Alexandrium temperature saxitoxin,dinoflagellate_stx,,,10.1002/chemv.201700023,,biosynthesis of saxitoxin,doi:10.1002/chemv.201700023
CrossRef,,10.1002/chemv.201700023,2017.0,Biosynthesis of Saxitoxin,,ChemViews,Alexandrium transcriptome saxitoxin,dinoflagellate_stx,,,10.1002/chemv.201700023,,biosynthesis of saxitoxin,doi:10.1002/chemv.201700023
CrossRef,,10.1002/chemv.201700023,2017.0,Biosynthesis of Saxitoxin,,ChemViews,saxitoxin evolution dinoflagellates,dinoflagellate_stx,,,10.1002/chemv.201700023,,biosynthesis of saxitoxin,doi:10.1002/chemv.201700023
CrossRef,,10.1002/chemv.201700023,2017.0,Biosynthesis of Saxitoxin,,ChemViews,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/chemv.201700023,,biosynthesis of saxitoxin,doi:10.1002/chemv.201700023
CrossRef,,10.1002/chin.197601364,1976.0,ChemInform Abstract: STRUCTURE OF A CRYSTALLINE DERIVATIVE OF SAXITOXIN. STRUCTURE OF SAXITOXIN,"<jats:title>Abstract</jats:title><jats:p>Aufgrund der <jats:sup>13</jats:sup>C‐NMR‐Spektroskopie liegt Saxitoxin, das Gift von Schalentieren, in wäß‐ rigen Lösungen als Hydrat vor.</jats:p>",Chemischer Informationsdienst,Alexandrium saxitoxin,dinoflagellate_stx,,,10.1002/chin.197601364,,cheminform abstract structure of a crystalline derivative of saxitoxin structure of saxitoxin,doi:10.1002/chin.197601364
CrossRef,,10.1002/chin.197601364,1976.0,ChemInform Abstract: STRUCTURE OF A CRYSTALLINE DERIVATIVE OF SAXITOXIN. STRUCTURE OF SAXITOXIN,"<jats:title>Abstract</jats:title><jats:p>Aufgrund der <jats:sup>13</jats:sup>C‐NMR‐Spektroskopie liegt Saxitoxin, das Gift von Schalentieren, in wäß‐ rigen Lösungen als Hydrat vor.</jats:p>",Chemischer Informationsdienst,Alexandrium temperature saxitoxin,dinoflagellate_stx,,,10.1002/chin.197601364,,cheminform abstract structure of a crystalline derivative of saxitoxin structure of saxitoxin,doi:10.1002/chin.197601364
CrossRef,,10.1002/chin.197601364,1976.0,ChemInform Abstract: STRUCTURE OF A CRYSTALLINE DERIVATIVE OF SAXITOXIN. STRUCTURE OF SAXITOXIN,"<jats:title>Abstract</jats:title><jats:p>Aufgrund der <jats:sup>13</jats:sup>C‐NMR‐Spektroskopie liegt Saxitoxin, das Gift von Schalentieren, in wäß‐ rigen Lösungen als Hydrat vor.</jats:p>",Chemischer Informationsdienst,Alexandrium transcriptome saxitoxin,dinoflagellate_stx,,,10.1002/chin.197601364,,cheminform abstract structure of a crystalline derivative of saxitoxin structure of saxitoxin,doi:10.1002/chin.197601364
CrossRef,,10.1002/chin.197601364,1976.0,ChemInform Abstract: STRUCTURE OF A CRYSTALLINE DERIVATIVE OF SAXITOXIN. STRUCTURE OF SAXITOXIN,"<jats:title>Abstract</jats:title><jats:p>Aufgrund der <jats:sup>13</jats:sup>C‐NMR‐Spektroskopie liegt Saxitoxin, das Gift von Schalentieren, in wäß‐ rigen Lösungen als Hydrat vor.</jats:p>",Chemischer Informationsdienst,Centrodinium punctatum saxitoxin,dinoflagellate_stx,,,10.1002/chin.197601364,,cheminform abstract structure of a crystalline derivative of saxitoxin structure of saxitoxin,doi:10.1002/chin.197601364
