source_database,pmid,doi,year,title,abstract,journal,query,corpus,openalex_id,source_db,doi_clean,pmid_clean,title_clean,dedup_key,url,relevance_score,relevance_class,taxon_scope,stx_term_count,gene_term_count,dinoflagellate_term_count,cyanobacteria_term_count,environment_term_count,matched_stx_terms,matched_gene_terms,matched_dinoflagellate_terms,matched_cyanobacteria_terms,matched_environment_terms
PubMed,33875183.0,10.1016/j.hal.2021.101975,2021.0,"Marine harmful algal blooms (HABs) in the United States: History, current status and future trends.","Harmful algal blooms (HABs) are diverse phenomena involving multiple. species and classes of algae that occupy a broad range of habitats from lakes to oceans and produce a multiplicity of toxins or bioactive compounds that impact many different resources. Here, a review of the status of this complex array of marine HAB problems in the U.S. is presented, providing historical information and trends as well as future perspectives. The study relies on thirty years (1990-2019) of data in HAEDAT - the IOC-ICES-PICES Harmful Algal Event database, but also includes many other reports. At a qualitative level, the U.S. national HAB problem is far more extensive than was the case decades ago, with more toxic species and toxins to monitor, as well as a larger range of impacted resources and areas affected. Quantitatively, no significant trend is seen for paralytic shellfish toxin (PST) events over the study interval, though there is clear evidence of the expansion of the problem into new regions and the emergence of a species that produces PSTs in Florida - Pyrodinium bahamense. Amnesic shellfish toxin (AST) events have significantly increased in the U.S., with an overall pattern of frequent outbreaks on the West Coast, emerging, recurring outbreaks on the East Coast, and sporadic incidents in the Gulf of Mexico. Despite the long historical record of neurotoxic shellfish toxin (NST) events, no significant trend is observed over the past 30 years. The recent emergence of diarrhetic shellfish toxins (DSTs) in the U.S. began along the Gulf Coast in 2008 and expanded to the West and East Coasts, though no significant trend through time is seen since then. Ciguatoxin (CTX) events caused by Gambierdiscus dinoflagellates have long impacted tropical and subtropical locations in the U.S., but due to a lack of monitoring programs as well as under-reporting of illnesses, data on these events are not available for time series analysis. Geographic expansion of Gambierdiscus into temperate and non-endemic areas (e.g., northern Gulf of Mexico) is apparent, and fostered by ocean warming. HAB-related marine wildlife morbidity and mortality events appear to be increasing, with statistically significant increasing trends observed in marine mammal poisonings caused by ASTs along the coast of California and NSTs in Florida. Since their first occurrence in 1985 in New York, brown tides resulting from high-density blooms of Aureococcus have spread south to Delaware, Maryland, and Virginia, while those caused by Aureoumbra have spread from the Gulf Coast to the east coast of Florida. Blooms of Margalefidinium polykrikoides occurred in four locations in the U.S. from 1921-2001 but have appeared in more than 15  U.S. estuaries since then, with ocean warming implicated as a causative factor. Numerous blooms of toxic cyanobacteria have been documented in all 50  U.S. states and the transport of cyanotoxins from freshwater systems into marine coastal waters is a recently identified and potentially significant threat to public and ecosystem health. Taken together, there is a significant increasing trend in all HAB events in HAEDAT over the 30-year study interval. Part of this observed HAB expansion simply reflects a better realization of the true or historic scale of the problem, long obscured by inadequate monitoring. Other contributing factors include the dispersion of species to new areas, the discovery of new HAB poisoning syndromes or impacts, and the stimulatory effects of human activities like nutrient pollution, aquaculture expansion, and ocean warming, among others. One result of this multifaceted expansion is that many regions of the U.S. now face a daunting diversity of species and toxins, representing a significant and growing challenge to resource managers and public health officials in terms of toxins, regions, and time intervals to monitor, and necessitating new approaches to monitoring and management. Mobilization of funding and resources for research, monitoring and management of HABs requires accurate information on the scale and nature of the national problem. HAEDAT and other databases can be of great value in this regard but efforts are needed to expand and sustain the collection of data regionally and nationally.",Harmful algae,cyanobacteria paralytic shellfish toxins,cyanobacteria_stx,,,10.1016/j.hal.2021.101975,33875183.0,marine harmful algal blooms habs in the united states history current status and future trends,doi:10.1016/j.hal.2021.101975,,20,dinoflagellate_stx,cross_taxa,3,0,3,1,3,paralytic shellfish toxin; pst; psts,,dinoflagellates; pyrodinium; pyrodinium bahamense,cyanobacteria,hab; nutrient; warming
PubMed,33980428.0,10.1016/j.hal.2021.102028,2021.0,"Physiological changes induced by sodium chloride stress in Aphanizomenon gracile, Cylindrospermopsis raciborskii and Dolichospermum sp.","Due to anthropogenic activities, associated with climate change, many freshwater ecosystems are expected to experience an increase in salinity. This phenomenon is predicted to favor the development and expansion of freshwater cyanobacteria towards brackish waters due to their transfer along the estuarine freshwater-marine continuum. Since freshwater cyanobacteria are known to produce toxins, this represents a serious threat for animal and human health. Saxitoxins (STXs) are classified among the most powerful cyanotoxins. It becomes thus critical to evaluate the capacity of cyanobacteria producing STXs to face variations in salinity and to better understand the physiological consequences of sodium chloride (NaCl) exposure, in particular on their toxicity. Laboratory experiments were conducted on three filamentous cyanobacteria species isolated from brackish (Dolichospermum sp.) and fresh waters (Aphanizomenon gracile and Cylindrospermopsis raciborskii) to determine how salinity variations affect their growth, photosynthetic activity, pigment composition, production of reactive oxygen species (ROS), synthesis of compatible solutes and STXs intracellular quotas. Salinity tolerance was found to be species-specific. Dolichospermum sp. was more resistant to salinity variations than A. gracile and C. raciborskii. NaCl variations reduced growth in all species. In A. gracile, carotenoids content was dose-dependently reduced by NaCl. By contrast, in C. raciborskii and Dolichospermum sp., variations in carotenoids content did not show obvious relationships with NaCl concentration. While in Dolichospermum sp. phycocyanin and phycoerythrin increased within the first 24 h exposure to NaCl, in both A. gracile and C. raciborskii, these pigments decreased proportionally to NaCl concentration. Low changes in salinity did not impact STXs production in A. gracile and C. raciborskii while higher increase in salinity could modify the toxin profile and content of C. raciborskii (intracellular STX decreased while dc-GTX2 increased). In estuaries, A. gracile and C. raciborskii would not be able to survive beyond the oligohaline area (i.e. salinity > 5). Conversely, in part due to its ability to accumulate compatible solutes, Dolichospermum sp. has the potential to face consequent salinity variations and to survive in the polyhaline area (at least up to salinity = 24).",Harmful algae,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1016/j.hal.2021.102028,33980428.0,physiological changes induced by sodium chloride stress in aphanizomenon gracile cylindrospermopsis raciborskii and dolichospermum sp,doi:10.1016/j.hal.2021.102028,,20,cyanobacteria_stx,cyanobacteria,3,0,0,4,3,gtx2; saxitoxins; stx,,,aphanizomenon; cyanobacteria; cylindrospermopsis; dolichospermum,climate; salinity; stress
PubMed,32307073.0,10.1016/j.hal.2020.101792,2020.0,Phylogenetic relationships and genetic divergence of paralytic shellfish toxin- and cylindrospermopsin- producing Cylindrospermopsis and raphidiopsis.,"Cylindrospermopsis and Raphidiopsis (C/R group) are closely related species responsible for cyanobacterial blooms worldwide. Paralytic shellfish toxins (PSTs) and cylindrospermopsins (CYNs) have been identified in different C/R group strains. However, the evolutionary relationship between PST- and CYN-producing strains has not been systematically evaluated. In this study, C/R group strains and their toxin biosynthesis genes were evaluated by phylogenetic analysis and sequence comparison. None of the tested strains are able to produce PSTs and CYNs simultaneously. The C/R group strains were clustered into five clades, including two non-toxic, two CYN-producing and one PST-producing clades. A high degree of similarity was observed for rpoC1 (> 96%) and ITS-L (> 97%) sequences within each clade with the exception of the ITS-L (87% to 100%) region in CYN-producing R. curvata, which has been shown to contain variable sequence insertions. Genomic analysis revealed that sxtY and sxtZ could be found in both toxic and non-toxic strains. The transposase gene IS4 was only observed in strains from the PST-producing clade. The sxt and cyr gene clusters share five gene families with similar functions. The amino acid sequences of the adenylyl-sulfate kinase genes, sxtO and cyrN, are more similar (45% to 81%) than other pairs of genes (8.0% to 40%). SxtO and CyrN proteins from C/R group strains forms an independent clade on the phylogenetic tree with a high degree of sequence similarity (78% to 100%). In conclusion, PST- and CYN- producing C/R group species can be classified into different clades based on their phylogenetic profile. The sxtO and cyrN genes have probably diverged from a single ancestral adenylyl-sulfate kinase gene, and may be specifically used for toxin biosynthesis in C/R group species.",Harmful algae,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1016/j.hal.2020.101792,32307073.0,phylogenetic relationships and genetic divergence of paralytic shellfish toxin and cylindrospermopsin producing cylindrospermopsis and raphidiopsis,doi:10.1016/j.hal.2020.101792,,20,high_confidence_stx_biosynthesis,cyanobacteria,4,1,0,2,0,paralytic shellfish toxin; paralytic shellfish toxins; pst; psts,toxin biosynthesis,,cyanobacterial; cylindrospermopsis,
OpenAlex,,10.3390/w12030903,2020.0,"Detection of Cyanotoxin-Producing Genes in a Eutrophic Reservoir (Billings Reservoir, São Paulo, Brazil)","CyanoHABs (cyanobacterial harmful algal blooms) are blooms of cyanobacteria capable of producing cyanotoxins, a large group of secondary metabolites that are toxic to most eukaryotes. In this work, the main aim was to evaluate the presence of multiple genes from each of the clusters responsible for biosynthesis of cyanotoxins (cylindrospermopsin, microcystin and saxitoxin) in total DNA obtained from sixteen environmental water samples by PCR. Microcystin gene mcyE was amplified in all analyzed samples. Among the cylindrospermopsin genes analyzed, only the cyrC gene was amplified from DNA obtained from three of sixteen samples. Of the three different saxitoxin genes analyzed, sxtB and sxtI were present in four and three of the sixteen samples studied, respectively, and sxtA did not show any positive result. Based on our results, we suggest caution when using only one gene from the full clusters responsible for biosynthesis of cyanotoxins, given that it may not be sufficient to confirm or exclude the toxigenic potential of a sample.",Water,cyanobacteria saxitoxin,cyanobacteria_stx,https://openalex.org/W3012738875,,10.3390/w12030903,,detection of cyanotoxin producing genes in a eutrophic reservoir billings reservoir s o paulo brazil,doi:10.3390/w12030903,,20,high_confidence_stx_biosynthesis,cyanobacteria,1,3,0,2,1,saxitoxin,sxta; sxtb; sxti,,cyanobacteria; cyanobacterial,environmental
OpenAlex,,10.1002/9783527801718.ch11,2018.0,"Guanidinium Toxins: Natural Biogenic Origin, Chemistry, Biosynthesis, and Biotechnological Applications","Neurotoxins belonging to the group of saxitoxin (STX) and tetrodotoxin (TTX) analogs are guanidinium alkaloids that share a common high affinity and ion flux blockage capacity for voltage-gated sodium ion channels (NaV). Members of the STX group, also known as paralytic shellfish toxins (PST), are produced among three genera of marine dinoflagellates and several genera of phylogenetically distant and primarily freshwater filamentous cyanobacteria. The origin of the biosynthetic genes in dinoflagellates remains controversial and may represent single or multiple horizontal gene transfer (HGT) events from progenitor non-photosynthetic bacteria and/or cyanobacteria. The TTXs occur primarily among marine puffer fish and a host of terrestrial amphibians. The biosynthetic pathway has not been completely elucidated and the origin of tetrodotoxicity, including the syndrome puffer fish poisoning (PFP) in human seafood consumers, remains somewhat enigmatic. Although symbiotic bacteria are most often invoked as the source of TTX in macrofauna, endogenous biosynthesis independent of bacteria cannot be excluded. Integration of knowledge on the biogenic origins, linked to heterogeneity of the biogeographical and phylogenetic distribution of these respective toxin groups, provides the basis for rational inferences and reasonable speculation about the functional role in aquatic and terrestrial ecosystems. Recent identification of the biosynthetic genes for STX analogs in both cyanobacteria and dinoflagellates has yielded insights into biosynthetic mechanisms of toxin heterogeneity among strains and the evolutionary origins of their respective elements of the toxin gene clusters. Although it is not fully understood how or why these molecules are produced in nature, development of improved detection methods will make possible the discovery of new sources and analogs. Once genetic mechanisms for toxin biosynthesis are fully incorporated with modeling of receptor binding interactions and the structural–functional affinities of the ion channels, this will facilitate further biotechnological exploitation of these exquisite bioactive compounds and point the way toward future development of pharmaceuticals and therapeutic applications.",Blue Biotechnology,cyanobacteria paralytic shellfish toxins,cyanobacteria_stx,https://openalex.org/W2808565981,,10.1002/9783527801718.ch11,,guanidinium toxins natural biogenic origin chemistry biosynthesis and biotechnological applications,doi:10.1002/9783527801718.ch11,,20,high_confidence_stx_biosynthesis,cross_taxa,4,1,1,1,0,paralytic shellfish toxins; pst; saxitoxin; stx,toxin biosynthesis,dinoflagellates,cyanobacteria,
PubMed,28678186.0,10.3390/toxins9070213,2017.0,Whole Transcriptomic Analysis Provides Insights into Molecular Mechanisms for Toxin Biosynthesis in a Toxic Dinoflagellate Alexandrium catenella (ACHK-T).,"Paralytic shellfish toxins (PSTs), a group of neurotoxic alkaloids, are the most potent biotoxins for aquatic ecosystems and human health. Marine dinoflagellates and freshwater cyanobacteria are two producers of PSTs. The biosynthesis mechanism of PSTs has been well elucidated in cyanobacteria; however, it remains ambiguous in dinoflagellates. Here, we compared the transcriptome profiles of a toxin-producing dinoflagellate <i>Alexandrium catenella</i> (ACHK-T) at different toxin biosynthesis stages within the cell cycle using RNA-seq. The intracellular toxin content increased gradually in the middle G1 phase and rapidly in the late G1 phase, and then remained relatively stable in other phases. Samples from four toxin biosynthesis stages were selected for sequencing, and finally yielded 110,370 unigenes, of which 66,141 were successfully annotated in the known databases. An analysis of differentially expressed genes revealed that 2866 genes altered significantly and 297 were co-expressed throughout the four stages. These genes participated mainly in protein metabolism, carbohydrate metabolism, and the oxidation-reduction process. A total of 138 homologues of toxin genes were identified, but they altered insignificantly among different stages, indicating that toxin biosynthesis might be regulated translationally or post-translationally. Our results will serve as an important transcriptomic resource to characterize key molecular processes underlying dinoflagellate toxin biosynthesis.",Toxins,cyanobacteria paralytic shellfish toxins,cyanobacteria_stx,,,10.3390/toxins9070213,28678186.0,whole transcriptomic analysis provides insights into molecular mechanisms for toxin biosynthesis in a toxic dinoflagellate alexandrium catenella achk t,doi:10.3390/toxins9070213,,20,high_confidence_stx_biosynthesis,cross_taxa,2,1,4,1,0,paralytic shellfish toxins; psts,toxin biosynthesis,alexandrium; alexandrium catenella; dinoflagellate; dinoflagellates,cyanobacteria,
PubMed,25456236.0,10.1016/j.aquatox.2014.10.016,2014.0,Morphological alterations and acetylcholinesterase and monoamine oxidase inhibition in liver of zebrafish exposed to Aphanizomenon flos-aquae DC-1 aphantoxins.,"Aphanizomenon flos-aquae is a cyanobacterium that produces neurotoxins or paralytic shellfish poisons (PSPs) called aphantoxins, which present threats to environmental safety and human health via eutrophication of water bodies worldwide. Although the molecular mechanisms of this neurotoxin have been studied, many questions remain unsolved, including those relating to in vivo hepatic neurotransmitter inactivation, physiological detoxification and histological and ultrastructural alterations. Aphantoxins extracted from the natural strain of A. flos-aquae DC-1 were analyzed by high-performance liquid chromatography. The main components were gonyautoxins 1 and 5 (GTX1, GTX5) and neosaxitoxin (neoSTX), which comprised 34.04%, 21.28%, and 12.77% respectively. Zebrafish (Danio rerio) were exposed intraperitoneally to 5.3 or 7.61 μg STX equivalents (eq)/kg (low and high doses, respectively) of A. flos-aquae DC-1 aphantoxins. Morphological alterations and changes in neurotransmitter conduction functions of acetylcholinesterase (AChE) and monoamine oxidase (MAO) in zebrafish liver were detected at different time points 1-24h post-exposure. Aphantoxin significantly enhanced hepatic alanine aminotransferase (ALT) and aspartate aminotransferase (AST) activities and histological and ultrastructural damage in zebrafish liver at 3-12 h post-exposure. Toxin exposure increased the reactive oxygen species content and reduced total antioxidative capacity in zebrafish liver, suggesting oxidative stress. AChE and MAO activities were significantly inhibited, suggesting neurotransmitter inactivation/conduction function abnormalities in zebrafish liver. All alterations were dose- and time-dependent. Overall, the results indicate that aphantoxins/PSPs induce oxidative stress through inhibition of AChE and MAO activities, leading to neurotoxicity in zebrafish liver. The above parameters may be useful as bioindicators for investigating aphantoxins/PSPs and cyanobacterial blooms in nature.","Aquatic toxicology (Amsterdam, Netherlands)",cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1016/j.aquatox.2014.10.016,25456236.0,morphological alterations and acetylcholinesterase and monoamine oxidase inhibition in liver of zebrafish exposed to aphanizomenon flos aquae dc 1 aphantoxins,doi:10.1016/j.aquatox.2014.10.016,,20,cyanobacteria_stx,cyanobacteria,4,0,0,3,2,gonyautoxins; gtx1; neosaxitoxin; stx,,,aphanizomenon; cyanobacterial; cyanobacterium,environmental; stress
PubMed,15450922.0,,2004.0,The effect of temperature on growth and production of paralytic shellfish poisoning toxins by the cyanobacterium Cylindrospermopsis raciborskii C10.,"Cylindrospermopsis raciborskii is a cyanobacterium which produces either cylindrospermopsine or paralytic shellfish poisoning (PSP) toxins. We studied the effect of temperature on growth and production of PSP toxins by C. raciborskii C10, isolated from a freshwater reservoir in Brazil. We analyzed the extracellular and intracellular content of PSP toxins at two different temperatures: 19 and 25 degrees C. C. raciborskii C10 produces STX, GTX2, and GTX3 at both temperatures. dcSTX was also detected at 25 degrees C in the intracellular extracts obtained at the end of the stationary phase. The growth achieved at 25 degrees C and estimated by optical density at 700 nm was three times greater than at 19 degrees C. However, no significant differences were observed in the content of PSP toxins in either the cells or the extracellular media. The kinetics of accumulation of PSP toxins within the cells rather than in the media suggests an active PSP toxins-export process that is not related to cell lysis. The extracellular accumulation of PSP toxins at 19 degrees C suggested a biotransformation of STX to the epimers GTX2 and GTX3. The stability of the PSP toxins produced by C. raciborskii C10 was high enough for them to remain active in the media after 30 days (at 25 degrees C) or after 50 days (at 19 degrees C).",Toxicon : official journal of the International Society on Toxinology,cyanobacteria paralytic shellfish toxins,cyanobacteria_stx,,,,15450922.0,the effect of temperature on growth and production of paralytic shellfish poisoning toxins by the cyanobacterium cylindrospermopsis raciborskii c10,pmid:15450922.0,,20,cyanobacteria_stx,cyanobacteria,5,0,0,2,1,dcstx; gtx2; gtx3; paralytic shellfish poisoning; stx,,,cyanobacterium; cylindrospermopsis,temperature
PubMed,39545400.0,10.1093/gbe/evae248,2025.0,Novel Toxin Biosynthetic Gene Cluster in Harmful Algal Bloom-Causing Heteroscytonema crispum: Insights into the Origins of Paralytic Shellfish Toxins.,"Caused by both eukaryotic dinoflagellates and prokaryotic cyanobacteria, harmful algal blooms are events of severe ecological, economic, and public health consequence, and their incidence has become more common of late. Despite coordinated research efforts to identify and characterize the genomes of harmful algal bloom-causing organisms, the genomic basis and evolutionary origins of paralytic shellfish toxins produced by harmful algal blooms remain at best incomplete. The paralytic shellfish toxin saxitoxin has an especially complex genomic architecture and enigmatic phylogenetic distribution, spanning dinoflagellates and multiple cyanobacterial genera. Using filtration and extraction techniques to target the desired cyanobacteria from nonaxenic culture, coupled with a combination of short- and long-read sequencing, we generated a reference-quality hybrid genome assembly for Heteroscytonema crispum UTEX LB 1556, a freshwater, paralytic shellfish toxin-producing cyanobacterium thought to have the largest known genome in its phylum. We report a complete, novel biosynthetic gene cluster for the paralytic shellfish toxin saxitoxin. Leveraging this biosynthetic gene cluster, we find support for the hypothesis that paralytic shellfish toxin production has appeared in divergent Cyanobacteria lineages through widespread and repeated horizontal gene transfer. This work demonstrates the utility of long-read sequencing and metagenomic assembly toward advancing our understanding of paralytic shellfish toxin biosynthetic gene cluster diversity and suggests a mechanism for the origin of paralytic shellfish toxin biosynthetic genes.",Genome biology and evolution,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1093/gbe/evae248,39545400.0,novel toxin biosynthetic gene cluster in harmful algal bloom causing heteroscytonema crispum insights into the origins of paralytic shellfish toxins,doi:10.1093/gbe/evae248,,19,dinoflagellate_stx,cross_taxa,3,0,1,3,2,paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin,,dinoflagellates,cyanobacteria; cyanobacterial; cyanobacterium,bloom; harmful algal bloom
PubMed,40710502.0,10.3390/md23070277,2025.0,"Saxitoxin: A Comprehensive Review of Its History, Structure, Toxicology, Biosynthesis, Detection, and Preventive Implications.","Saxitoxin (STX) is a potent toxin produced by marine dinoflagellates and freshwater or brackish water cyanobacteria, and is a member of the paralytic shellfish toxins (PSTs). As a highly specific blocker of voltage-gated sodium channels (NaVs), STX blocks sodium ion influx, thereby inhibiting nerve impulse transmission and leading to systemic physiological dysfunctions in the nervous, respiratory, cardiovascular, and digestive systems. Severe exposure can lead to paralysis, respiratory failure, and mortality. STX primarily enters the human body through the consumption of contaminated shellfish, posing a significant public health risk as the causative agent of paralytic shellfish poisoning (PSP). Beyond its acute toxicity, STX exerts cascading impacts on food safety, marine ecosystem integrity, and economic stability, particularly in regions affected by harmful algal blooms (HABs). Moreover, the complex molecular structure of STX-tricyclic skeleton and biguanide group-and its diverse analogs (more than 50 derivatives) have made it the focus of research on natural toxins. In this review, we traced the discovery history, chemical structure, molecular biosynthesis, biological enrichment mechanisms, and toxicological actions of STX. Moreover, we highlighted recent advancements in the potential for detection and treatment strategies of STX. By integrating multidisciplinary insights, this review aims to provide a holistic understanding of STX and to guide future research directions for its prevention, management, and potential applications.",Marine drugs,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.3390/md23070277,40710502.0,saxitoxin a comprehensive review of its history structure toxicology biosynthesis detection and preventive implications,doi:10.3390/md23070277,,19,dinoflagellate_stx,cross_taxa,5,0,1,1,0,paralytic shellfish poisoning; paralytic shellfish toxins; psts; saxitoxin; stx,,dinoflagellates,cyanobacteria,
PubMed,39703858.0,10.1016/j.jglr.2024.102342,2024.0,The spatiotemporal distribution of potential saxitoxin-producing cyanobacteria in western Lake Erie.,"Cyanobacterial blooms in the western basin of Lake Erie have been well studied with a focus on planktonic <i>Microcystis</i> and the cyanotoxin microcystin, but recent research has shown that blooms are not entirely <i>Microcystis</i>. Previous studies have documented other taxa in blooms capable of producing other cyanotoxins. Furthermore, benthic cyanobacteria have historically been overlooked in Lake Erie. Saxitoxin is a cyanotoxin of emerging concern in freshwater, and the <i>sxtA</i> gene which encodes its production has been found in the Maumee River and central basin of Lake Erie. Collectively, these points indicated that saxitoxin-producing cyanobacteria may also occur in the western basin. We utilized three sources of data to determine the spatial and temporal distribution of potential saxitoxin-producing cyanobacteria in the water column (years 2018-2022) and deployed nutrient diffusing substrata (NDS) to determine the impact of nutrients, depth, and season on potential-STX producing benthic cyanobacteria (years 2018 & 2019). The water column datasets showed that ""hotspots"" of <i>sxtA</i> lasted only a few weeks. <i>sxtA</i> gene copies per mL did not correlate with <i>Dolichospermum</i> or <i>Aphanizomenon</i> biovolume, which have been associated with <i>sxtA</i> elsewhere. In the NDS, saxitoxin (ng/cm<sup>2</sup>) and cyanobacteria chlorophyll were inversely correlated with the highest saxitoxin in September and at the deeper depth, whereas cyanobacteria chlorophyll was highest during June and at the shallower depth. This research suggests continued monitoring is needed to determine drivers of saxitoxin in the western basin, and we recommend that future Lake Erie cyanobacteria research should not solely focus on microcystins and planktonic blooms.",Journal of Great Lakes research,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1016/j.jglr.2024.102342,39703858.0,the spatiotemporal distribution of potential saxitoxin producing cyanobacteria in western lake erie,doi:10.1016/j.jglr.2024.102342,,19,high_confidence_stx_biosynthesis,cyanobacteria,2,1,0,4,1,saxitoxin; stx,sxta,,aphanizomenon; cyanobacteria; cyanobacterial; dolichospermum,nutrient
PubMed,36068755.0,10.1016/j.ecoenv.2022.113828,2022.0,Cyanotoxins and water quality parameters as risk assessment indicators for aquatic life in reservoirs.,"We assessed the extent of pollution in an essential public water supply reservoir (southeastern Brazil). An environmental monitoring study was performed at the Billings Reservoir (at the water catchment site) to assess the water quality in 2017, 2018, and 2019. Physicochemical parameters were analyzed, quantifying the total cyanobacteria and the cyanotoxins microcystins (MCs) and saxitoxins (SXTs), as well as their possible ecological risk to the aquatic environment. We also determined metals and metalloids (As, Ba, Cd, Pb, Cu, Cr, Fe, Mn, Ni, Zn, and Sb) and fecal bacteria (Escherichia coli). Monthly samplings were performed for 2017, 2018, and 2019 (totaling 36 sampling campaigns). Metals, metalloids, and E. coli values were below the maximum limit allowed by the Brazilian legislation. High concentrations of total cyanobacteria (3.07 × 10<sup>4</sup> - 3.23 × 10<sup>5</sup> cells/mL), microcystin variants MC-LR (0.67-23.63 μg/L), MC-LA (0.03-8.66 μg/L), MC-RR (0.56-7.92 μg/L), and MC-YR (0.04-1.24 μg/L), as well as the saxitoxins GTX2 (0.18-5.37 μg/L), GTX3 (0.13-4.40 μg/L), and STX (0.12-2.92 μg/L) were detected. From an ecotoxicological point of view, the estimated values for the risk quotient (RQ) for microcystins and saxitoxins were largely greater than 1, indicating a high risk to aquatic life. Therefore, further efforts need to be made to delay the eutrophication of the reservoir.",Ecotoxicology and environmental safety,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.1016/j.ecoenv.2022.113828,36068755.0,cyanotoxins and water quality parameters as risk assessment indicators for aquatic life in reservoirs,doi:10.1016/j.ecoenv.2022.113828,,19,high_confidence_stx_biosynthesis,cyanobacteria,4,1,0,1,1,gtx2; gtx3; saxitoxins; stx,sxts,,cyanobacteria,environmental
PubMed,35324712.0,10.3390/toxins14030215,2022.0,Assessment of Common Cyanotoxins in Cyanobacteria of Biological Loess Crusts.,"Cyanotoxins are a diverse group of bioactive compounds produced by cyanobacteria that have adverse effects on human and animal health. While the phenomenon of cyanotoxin production in aquatic environments is well studied, research on cyanotoxins in terrestrial environments, where cyanobacteria abundantly occur in biocrusts, is still in its infancy. Here, we investigated the potential cyanotoxin production in cyanobacteria-dominated biological loess crusts (BLCs) from three different regions (China, Iran, and Serbia) and in cyanobacterial cultures isolated from the BLCs. The presence of cyanotoxins microcystins, cylindrospermopsin, saxitoxins, and β-N-methylamino-L-alanine was analyzed by liquid chromatography-tandem mass spectrometry (LC-MS/MS) method, while the presence of cyanotoxin-encoding genes (<i>mcyE</i>, <i>cyrJ</i>, <i>sxtA</i>, <i>sxtG</i>, <i>sxtS</i>, and <i>anaC</i>) was investigated by polymerase chain reaction (PCR) method. We could not detect any of the targeted cyanotoxins in the biocrusts or the cyanobacterial cultures, nor could we amplify any cyanotoxin-encoding genes in the cyanobacterial strains. The results are discussed in terms of the biological role of cyanotoxins, the application of cyanobacteria in land restoration programs, and the use of cyanotoxins as biosignatures of cyanobacterial populations in loess research. The article highlights the need to extend the field of research on cyanobacteria and cyanotoxin production to terrestrial environments.",Toxins,cyanobacteria saxitoxin,cyanobacteria_stx,,,10.3390/toxins14030215,35324712.0,assessment of common cyanotoxins in cyanobacteria of biological loess crusts,doi:10.3390/toxins14030215,,19,high_confidence_stx_biosynthesis,cyanobacteria,1,3,0,2,0,saxitoxins,sxta; sxtg; sxts,,cyanobacteria; cyanobacterial,
OpenAlex,,10.3390/w13121716,2021.0,Influence of Environmental Factors on Occurrence of Cyanobacteria and Abundance of Saxitoxin-Producing Cyanobacteria in a Subtropical Drinking Water Reservoir in Brazil,"Blooms of cyanobacteria are frequent in Brazilian water reservoirs used for drinking water. The warning for the presence of potential toxin-producing cyanobacteria is typically based on time-consuming microscopy, rather than specific molecular detection of toxic genes in cyanobacteria. In this study, we developed a quantitative PCR assay for the detection of cyanobacteria producing the neurotoxin saxitoxin (STX). The assay targets the sxtA gene in the sxt gene cluster. Potential and dominant STX-producers in the Itupararanga reservoir were the genera Raphidiopsis, Aphanizomenon and Geitlerinema. Numbers of the sxtA gene varied from 6.76 × 103 to 7.33 × 105 cells mL−1 and correlated positively with SXT concentrations in the water. Concentrations of STX and the sxtA gene also correlated positively with TN:TP ratio and pH, but correlated negatively with inorganic nutrients and turbidity, confirming that regulation of the SXT production was impacted by environmental variables. In contrast, the occurrence of another cyanotoxin, microcystin, did not correlate with any environmental variables. The developed qPCR assay was found to be a rapid and robust approach for the specific quantification of potential STX-producing cyanobacteria and should be considered in future investigations on toxic cyanobacteria to provide an early warning of potential toxin episodes.",Water,cyanobacteria saxitoxin,cyanobacteria_stx,https://openalex.org/W3174337716,,10.3390/w13121716,,influence of environmental factors on occurrence of cyanobacteria and abundance of saxitoxin producing cyanobacteria in a subtropical drinking water reservoir in brazil,doi:10.3390/w13121716,,19,high_confidence_stx_biosynthesis,cyanobacteria,2,2,0,2,1,saxitoxin; stx,sxt gene; sxta,,aphanizomenon; cyanobacteria,environmental
