paper_id,year,group,source,entity_text,entity_normalized,entity_type,relation_hint,start,end,context,entity_original_before_strict_norm
41867601,2026.0,cyano_train,title,Saxitoxin,saxitoxin,TOXIN,,80,89,Flexible Gold-Based Electrochemical Biosensor for Highly Sensitive Detection of Saxitoxin in Water Samples.,Saxitoxin
41867601,2026.0,cyano_train,abstract,cyanobacterial,cyanobacteria,TAXON_GROUP,,35,49,"Saxitoxin (STX) is a highly potent cyanobacterial toxin, posing serious risks to aquatic ecosystems and human health. Conventional methods for STX de",cyanobacterial
41867601,2026.0,cyano_train,abstract,Saxitoxin,saxitoxin,TOXIN,,0,9,"Saxitoxin (STX) is a highly potent cyanobacterial toxin, posing serious risks to aquatic ecosystems and human",Saxitoxin
41867601,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,11,14,"Saxitoxin (STX) is a highly potent cyanobacterial toxin, posing serious risks to aquatic ecosystems and human heal",saxitoxin
41867601,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,143,146,"terial toxin, posing serious risks to aquatic ecosystems and human health. Conventional methods for STX detection, such as high-performance liquid chromatography (HPLC), mass spectrometry (MS), and enzym",saxitoxin
41867601,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,527,530,"ensor fabricated via photolithography of gold electrodes on affordable polymer-based substrates for STX detection in water samples. The electrodes showed high mechanical stability, low charge transfer re",saxitoxin
41867601,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,715,718,"rge transfer resistance, and an electroactive surface area 55% larger than the geometric area. Anti-STX antibodies were immobilized using a simple sodium citrate-assisted physisorption method. The biosen",saxitoxin
41867601,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,997,1000,"th [Fe-(CN) 6 ] 3-/4- as the redox probe, displayed a concentration-dependent current decrease upon STX exposure. The biosensor operated within the range of 0.5-6.0 μg/L and showed a detection limit of 0",saxitoxin
41867601,2026.0,cyano_train,abstract,phosphate,phosphorus,ENV_FACTOR,,867,876,"m citrate-assisted physisorption method. The biosensor response, monitored by cyclic voltammetry in phosphate-buffered solution with [Fe-(CN) 6 ] 3-/4- as the redox probe, displayed a concentration-dependent c",phosphate
41867601,2026.0,cyano_train,abstract,pH,pH,ENV_FACTOR,,1363,1365,"ocystin-LR and cylindrospermopsin, and remained effective in mineral water samples across different pH values (6.2-10.2). This study highlights the potential of flexible, low-cost photolithographic sens",pH
41867601,2026.0,cyano_train,abstract,"The biosensor response, monitored by cyclic voltammetry in phosphate-buffered solution with [Fe-(CN) 6 ] 3-/4- as the redox probe, displayed a concentration-dependent current decrease upon STX exposure.","The biosensor response, monitored by cyclic voltammetry in phosphate-buffered solution with [Fe-(CN) 6 ] 3-/4- as the redox probe, displayed a concentration-dependent current decrease upon STX exposure.",FINDING_SENTENCE,DECREASES,0,202,"The biosensor response, monitored by cyclic voltammetry in phosphate-buffered solution with [Fe-(CN) 6 ] 3-/4- as the redox probe, displayed a concentration-dependent current decrease upon STX exposure.","The biosensor response, monitored by cyclic voltammetry in phosphate-buffered solution with [Fe-(CN) 6 ] 3-/4- as the redox probe, displayed a concentration-dependent current decrease upon STX exposure."
41867601,2026.0,cyano_train,abstract,"The biosensor operated within the range of 0.5-6.0 μg/L and showed a detection limit of 0.2 μg/L, which is 15 times lower than the World Health Organization (WHO) guideline value.","The biosensor operated within the range of 0.5-6.0 μg/L and showed a detection limit of 0.2 μg/L, which is 15 times lower than the World Health Organization (WHO) guideline value.",FINDING_SENTENCE,DECREASES,0,179,"The biosensor operated within the range of 0.5-6.0 μg/L and showed a detection limit of 0.2 μg/L, which is 15 times lower than the World Health Organization (WHO) guideline value.","The biosensor operated within the range of 0.5-6.0 μg/L and showed a detection limit of 0.2 μg/L, which is 15 times lower than the World Health Organization (WHO) guideline value."
41727031,2026.0,cyano_train,abstract,Cyanobacterial,cyanobacteria,TAXON_GROUP,,0,14,"Cyanobacterial harmful algal blooms (cyanoHABs) are a major ecological and public health concern, commonly monitor",Cyanobacterial
41702991,2026.0,cyano_train,title,dinoflagellates,dinoflagellates,TAXON_GROUP,,84,99,Transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates.,dinoflagellates
41702991,2026.0,cyano_train,title,freshwater dinoflagellates,freshwater dinoflagellates,TAXON_GROUP,,73,99,Transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates.,freshwater dinoflagellates
41702991,2026.0,cyano_train,title,biosynthesis,biosynthesis,BIOLOGICAL_MECHANISM,,51,63,Transcriptomic insights into polyketides and toxin biosynthesis genes in freshwater dinoflagellates.,biosynthesis
41702991,2026.0,cyano_train,abstract,sxtA4,sxtA,GENE,,1038,1043,"osynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain rev",sxtA4
41702991,2026.0,cyano_train,abstract,sxtA4,sxtA,GENE,,1127,1132,"including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic",sxtA4
41702991,2026.0,cyano_train,abstract,sxtD,sxtD,GENE,,1057,1061,"re absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwa",sxtD
41702991,2026.0,cyano_train,abstract,sxtH,sxtH,GENE,,1063,1067,"ent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater di",sxtH
41702991,2026.0,cyano_train,abstract,sxtI,sxtI,GENE,,1075,1079,"nalyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate",sxtI
41702991,2026.0,cyano_train,abstract,sxtS,sxtS,GENE,,1051,1055,"nes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that f",sxtS
41702991,2026.0,cyano_train,abstract,sxtU,sxtU,GENE,,1045,1049,"sis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed",sxtU
41702991,2026.0,cyano_train,abstract,STX biosynthesis genes,STX biosynthesis genes,GENE,,932,954,"ytic residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxt",STX biosynthesis genes
41702991,2026.0,cyano_train,abstract,sxtA4 domain,sxtA4 domain,GENE_DOMAIN,,1127,1139,"including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine",sxtA4 domain
41702991,2026.0,cyano_train,abstract,PKS,PKS,BIOSYNTHETIC_SYSTEM,,394,397,"ium bipes and Ceratium furcoides to investigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117,",PKS
41702991,2026.0,cyano_train,abstract,PKS,PKS,BIOSYNTHETIC_SYSTEM,,504,507,"y acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcripts in P. apiculatus, P. bipes, and C. furcoides, respectively, which include singl",PKS
41702991,2026.0,cyano_train,abstract,PKS,PKS,BIOSYNTHETIC_SYSTEM,,616,619,"transcripts in P. apiculatus, P. bipes, and C. furcoides, respectively, which include single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthas",PKS
41702991,2026.0,cyano_train,abstract,PKS,PKS,BIOSYNTHETIC_SYSTEM,,634,637,"apiculatus, P. bipes, and C. furcoides, respectively, which include single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains uni",PKS
41702991,2026.0,cyano_train,abstract,PKS,PKS,BIOSYNTHETIC_SYSTEM,,655,658,"and C. furcoides, respectively, which include single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater din",PKS
41702991,2026.0,cyano_train,abstract,PKS,PKS,BIOSYNTHETIC_SYSTEM,,1385,1388,"ing conserved active sites, suggesting potential functional variation. These findings reveal unique PKS and STX gene features in freshwater dinoflagellates, highlighting their previously unrecognized bio",PKS
41702991,2026.0,cyano_train,abstract,polyketide synthases,polyketide synthases,BIOSYNTHETIC_SYSTEM,,372,392,"tome data from Peridinium bipes and Ceratium furcoides to investigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95,",polyketide synthases
41702991,2026.0,cyano_train,abstract,FAS,FAS,BIOSYNTHETIC_SYSTEM,,422,425,"ides to investigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcrip",FAS
41702991,2026.0,cyano_train,abstract,FAS,FAS,BIOSYNTHETIC_SYSTEM,,868,871,"es, suggesting species-specific diversification. Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in a",FAS
41702991,2026.0,cyano_train,abstract,fatty acid synthases,fatty acid synthases,BIOSYNTHETIC_SYSTEM,,400,420,"pes and Ceratium furcoides to investigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related tran",fatty acid synthases
41702991,2026.0,cyano_train,abstract,dinoflagellates,dinoflagellates,TAXON_GROUP,,11,26,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely",dinoflagellates
41702991,2026.0,cyano_train,abstract,dinoflagellate,dinoflagellates,TAXON_GROUP,,202,216,"hesis genes are largely unexplored. Here, we generated and analyzed the transcriptome of freshwater dinoflagellate Palatinus apiculatus and compared it with the transcriptome data from Peridinium bipes and Ceratium",dinoflagellate
41702991,2026.0,cyano_train,abstract,dinoflagellates,dinoflagellates,TAXON_GROUP,,755,770,"PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification. Conserved catalytic residues were found in type II FA",dinoflagellates
41702991,2026.0,cyano_train,abstract,dinoflagellate,dinoflagellates,TAXON_GROUP,,1165,1179,"tH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while",dinoflagellate
41702991,2026.0,cyano_train,abstract,dinoflagellates,dinoflagellates,TAXON_GROUP,,1239,1254,"revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation",dinoflagellates
41702991,2026.0,cyano_train,abstract,dinoflagellates,dinoflagellates,TAXON_GROUP,,1425,1440,"otential functional variation. These findings reveal unique PKS and STX gene features in freshwater dinoflagellates, highlighting their previously unrecognized biosynthetic diversity, ecological roles, and biotechno",dinoflagellates
41702991,2026.0,cyano_train,abstract,marine dinoflagellates,dinoflagellates,TAXON_GROUP,,1232,1254,"domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation",marine dinoflagellates
41702991,2026.0,cyano_train,abstract,Freshwater dinoflagellates,Freshwater dinoflagellates,TAXON_GROUP,,0,26,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely",Freshwater dinoflagellates
41702991,2026.0,cyano_train,abstract,freshwater dinoflagellate,freshwater dinoflagellate,TAXON_GROUP,,191,216,"xin biosynthesis genes are largely unexplored. Here, we generated and analyzed the transcriptome of freshwater dinoflagellate Palatinus apiculatus and compared it with the transcriptome data from Peridinium bipes and Ceratium",freshwater dinoflagellate
41702991,2026.0,cyano_train,abstract,freshwater dinoflagellates,freshwater dinoflagellates,TAXON_GROUP,,744,770,"ybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification. Conserved catalytic residues were found in type II FA",freshwater dinoflagellates
41702991,2026.0,cyano_train,abstract,freshwater dinoflagellate,freshwater dinoflagellate,TAXON_GROUP,,1154,1179,"S, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while",freshwater dinoflagellate
41702991,2026.0,cyano_train,abstract,freshwater dinoflagellates,freshwater dinoflagellates,TAXON_GROUP,,1414,1440,"uggesting potential functional variation. These findings reveal unique PKS and STX gene features in freshwater dinoflagellates, highlighting their previously unrecognized biosynthetic diversity, ecological roles, and biotechno",freshwater dinoflagellates
41702991,2026.0,cyano_train,abstract,cyanobacteria,cyanobacteria,TAXON_GROUP,,1259,1272,"water dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation. These findings r",cyanobacteria
41702991,2026.0,cyano_train,abstract,saxitoxin,saxitoxin,TOXIN,,432,441,"vestigate the presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcripts in P. apicula",saxitoxin
41702991,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,443,446,"he presence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcripts in P. apiculatus,",saxitoxin
41702991,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,932,935,"ytic residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, includi",saxitoxin
41702991,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,1000,1003,"and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylo",saxitoxin
41702991,2026.0,cyano_train,abstract,STX,saxitoxin,TOXIN,,1393,1396,"erved active sites, suggesting potential functional variation. These findings reveal unique PKS and STX gene features in freshwater dinoflagellates, highlighting their previously unrecognized biosyntheti",saxitoxin
41702991,2026.0,cyano_train,abstract,toxic,toxic,TOXIN_PHENOTYPE,,56,61,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely unexplored. Here, we generated and",toxic
41702991,2026.0,cyano_train,abstract,toxic,toxic,TOXIN_PHENOTYPE,,1226,1231,"sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potenti",toxic
41702991,2026.0,cyano_train,abstract,non-toxic,non-toxic,TOXIN_PHENOTYPE,,52,61,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely unexplored. Here, we generated and",non-toxic
41702991,2026.0,cyano_train,abstract,Phylogenetic analysis,Phylogenetic analysis,EVOLUTIONARY_PROCESS,,660,681,"C. furcoides, respectively, which include single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggestin",Phylogenetic analysis
41702991,2026.0,cyano_train,abstract,Phylogenetic analysis,Phylogenetic analysis,EVOLUTIONARY_PROCESS,,1098,1119,"l STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified. Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from th",Phylogenetic analysis
41702991,2026.0,cyano_train,abstract,clade,clade,EVOLUTIONARY_PROCESS,,699,704,"de single-domain PKS, multi-domain PKS, and hybrid NRPS/PKS. Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific dive",clade
41702991,2026.0,cyano_train,abstract,clade,clade,EVOLUTIONARY_PROCESS,,1206,1211,etic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites,clade
41702991,2026.0,cyano_train,abstract,Conserved,Conserved,EVOLUTIONARY_PROCESS,,817,826,"ase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification. Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa. Although",Conserved
41702991,2026.0,cyano_train,abstract,conserved,conserved,EVOLUTIONARY_PROCESS,,1289,1298,"form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation. These findings reveal unique PKS and STX g",conserved
41702991,2026.0,cyano_train,abstract,biosynthesis,biosynthesis,BIOLOGICAL_MECHANISM,,95,107,"Freshwater dinoflagellates are typically considered non-toxic, and their polyketides and toxin biosynthesis genes are largely unexplored. Here, we generated and analyzed the transcriptome of freshwater dinof",biosynthesis
41702991,2026.0,cyano_train,abstract,biosynthesis,biosynthesis,BIOLOGICAL_MECHANISM,,448,460,"esence and diversity of polyketide synthases (PKS), fatty acid synthases (FAS), and saxitoxin (STX) biosynthesis genes (sxt). We identified 95, 117, and 39 PKS-related transcripts in P. apiculatus, P. bipes, and",biosynthesis
41702991,2026.0,cyano_train,abstract,biosynthesis,biosynthesis,BIOLOGICAL_MECHANISM,,936,948,"residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxt",biosynthesis
41702991,2026.0,cyano_train,abstract,STX biosynthesis,saxitoxin biosynthesis,BIOLOGICAL_MECHANISM,,932,948,"ytic residues were found in type II FAS genes across both freshwater and marine taxa. Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxt",STX biosynthesis
41702991,2026.0,cyano_train,abstract,"Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification.","Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification.",FINDING_SENTENCE,EVOLUTIONARY_LINK,0,156,"Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification.","Phylogenetic analysis revealed a novel clade of ketosynthase (KS) domains unique to freshwater dinoflagellates, suggesting species-specific diversification."
41702991,2026.0,cyano_train,abstract,Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa.,Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa.,FINDING_SENTENCE,PRESENT_IN,0,100,Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa.,Conserved catalytic residues were found in type II FAS genes across both freshwater and marine taxa.
41702991,2026.0,cyano_train,abstract,"Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified.","Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified.",FINDING_SENTENCE,ABSENT_IN,0,179,"Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified.","Although core STX biosynthesis genes were absent in all analyzed species, several STX-associated transcripts, including sxtA4, sxtU, sxtS, sxtD, sxtH/T, and sxtI, were identified."
41702991,2026.0,cyano_train,abstract,"Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation.","Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation.",FINDING_SENTENCE,EVOLUTIONARY_LINK,0,257,"Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation.","Phylogenetic analysis of the sxtA4 domain revealed that freshwater dinoflagellate sequences form a distinct clade from those of toxic marine dinoflagellates and cyanobacteria while retaining conserved active sites, suggesting potential functional variation."
41655539,2026.0,cyano_train,title,Cyanobacteria,cyanobacteria,TAXON_GROUP,,84,97,Zooplankton are adversely affected by chronic exposure to Raphidiopsis raciborskii (Cyanobacteria) and acetamiprid: A study of single and combined toxicity.,Cyanobacteria
41655539,2026.0,cyano_train,abstract,cyanobacteria,cyanobacteria,TAXON_GROUP,,1398,1411,"ism on the proportion of toxicants. For D. similis, the most harmful effects were observed when the cyanobacteria:acetamiprid proportion was 1:1, while for D. laevis, this occurred at 1:1 and 2:1 proportions. Thes",cyanobacteria
41655539,2026.0,cyano_train,abstract,cyanobacteria,cyanobacteria,TAXON_GROUP,,1578,1591,"at 1:1 and 2:1 proportions. These results demonstrate that the interaction between acetamiprid and cyanobacteria can lead to enhanced toxicity in zooplankton, underscoring the importance of assessing multiple str",cyanobacteria
41655539,2026.0,cyano_train,abstract,cyanobacterial,cyanobacteria,TAXON_GROUP,,187,201,"tilizers used, which can reach aquatic ecosystems and potentially worsen eutrophication and harmful cyanobacterial algal blooms (CyanoHABs). Additionally, the excessive use of neonicotinoid pesticides poses a signi",cyanobacterial
41655539,2026.0,cyano_train,abstract,cyanobacterial,cyanobacteria,TAXON_GROUP,,511,525,the chronic single and combined effects of the neonicotinoid acetamiprid and a saxitoxin-producing cyanobacterial strain (Raphidiopsis raciborskii LETC-CY-05) on survivorship and reproduction of two species of cla,cyanobacterial
41655539,2026.0,cyano_train,abstract,cyanobacterial,cyanobacteria,TAXON_GROUP,,1051,1065,"ll toxicity was influenced by a 10-fold variation in toxin content per biomass across the different cyanobacterial cultures used in the experiments, even in treatments with lower biomass concentrations. Combined zo",cyanobacterial
41655539,2026.0,cyano_train,abstract,saxitoxin,saxitoxin,TOXIN,,491,500,This study examined the chronic single and combined effects of the neonicotinoid acetamiprid and a saxitoxin-producing cyanobacterial strain (Raphidiopsis raciborskii LETC-CY-05) on survivorship and reproduct,saxitoxin
41655539,2026.0,cyano_train,abstract,toxin content,toxin content,TOXIN,,1004,1017,"o acetamiprid than to cyanobacterium. The overall toxicity was influenced by a 10-fold variation in toxin content per biomass across the different cyanobacterial cultures used in the experiments, even in treatment",toxin content
41655539,2026.0,cyano_train,abstract,toxic,toxic,TOXIN_PHENOTYPE,,841,846,"um than by acetamiprid. In contrast, although D. laevis exhibited greater overall tolerance to both toxic agents than D. similis, this species was more sensitive to acetamiprid than to cyanobacterium. The",toxic
41655539,2026.0,cyano_train,abstract,toxic,toxic,TOXIN_PHENOTYPE,,1205,1210,"in treatments with lower biomass concentrations. Combined zooplankton exposure to the pesticide and toxic cyanobacterium yielded different interaction effects, ranging from antagonism to synergism on the p",toxic
41655539,2026.0,cyano_train,abstract,"The overall toxicity was influenced by a 10-fold variation in toxin content per biomass across the different cyanobacterial cultures used in the experiments, even in treatments with lower biomass concentrations.","The overall toxicity was influenced by a 10-fold variation in toxin content per biomass across the different cyanobacterial cultures used in the experiments, even in treatments with lower biomass concentrations.",FINDING_SENTENCE,DECREASES,0,211,"The overall toxicity was influenced by a 10-fold variation in toxin content per biomass across the different cyanobacterial cultures used in the experiments, even in treatments with lower biomass concentrations.","The overall toxicity was influenced by a 10-fold variation in toxin content per biomass across the different cyanobacterial cultures used in the experiments, even in treatments with lower biomass concentrations."
