Source,Source_Type,Target,Target_Type,Hypothesis_Class,Temporal_Label,ML_Probability,Node2Vec_Integrated_Score,Final_AI_Rank_Score,Score,Common_Neighbors,Distinct_Bridge_Types,Bridge_Nodes,Interpretation
neosaxitoxin,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,1,0.7381903733408791,0.4788629385259372,0.6344593994149024,244.3994898542639,24,6,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; toxin_production; saxitoxin; paralytic_shellfish_poisoning; toxicity; gtx; alexandrium_tamarense; nutrient; cyanobacteria; temperature; alexandrium_fundyense; bloom; alexandrium_catenella; light; nitrogen; salinity; mass_spectrometry,"neosaxitoxin may be mechanistically associated with toxin_biosynthesis, supported by bridge concepts including alexandrium, paralytic_shellfish_toxins, dinoflagellate, dinoflagellates, toxin_production."
harmful_algal_bloom,ENV_FACTOR,sxt_genes,SXT_GENE,environment_gene_regulation,1,0.7971211518018441,0.3648864734059768,0.6242272804434972,190.1052846933682,20,6,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; gymnodinium; paralytic_shellfish_toxins; pyrodinium; sxta; paralytic_shellfish_poisoning; gymnodinium_catenatum; bloom; alexandrium_catenella; expression; pyrodinium_bahamense; cyanobacterial; toxin_biosynthesis; toxicity; alexandrium_tamarense; biosynthesis; cyanobacteria,"harmful_algal_bloom may influence or regulate sxt_genes, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, dinoflagellates, gymnodinium."
sxtg,SXT_GENE,transcription,BIOLOGICAL_PROCESS,gene_process_association,1,0.8187395951296952,0.3227254876149865,0.6203339521238117,148.8321600910238,17,5,alexandrium; saxitoxin; paralytic_shellfish_toxins; dinoflagellate; gymnodinium; paralytic_shellfish_poisoning; gymnodinium_catenatum; dinoflagellates; alexandrium_fundyense; evolution; saxitoxin_biosynthesis; bloom; alexandrium_minutum; sxta; expression; gene_expression; biosynthesis,"sxtg may be linked to the biological process transcription, supported by bridge concepts including alexandrium, saxitoxin, paralytic_shellfish_toxins, dinoflagellate, gymnodinium."
salinity,ENV_FACTOR,sxt_genes,SXT_GENE,environment_gene_regulation,1,0.8101731387456114,0.327810491936426,0.6172280800219372,163.35033094917733,18,5,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; paralytic_shellfish_toxins; pyrodinium; paralytic_shellfish_poisoning; cyanobacteria; toxicity; alexandrium_tamarense; gymnodinium; bloom; alexandrium_catenella; light; toxin_biosynthesis; gymnodinium_catenatum; pyrodinium_bahamense; biosynthesis,"salinity may influence or regulate sxt_genes, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, dinoflagellates, paralytic_shellfish_toxins."
aphanizomenon,CYANO_TAXON,sxt_genes,SXT_GENE,cyano_gene_transfer_signal,1,0.7661388777508727,0.3927699468646916,0.6167913053964003,175.57443632541927,19,6,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; cyanobacteria; paralytic_shellfish_toxins; cyanobacterial; paralytic_shellfish_poisoning; biosynthesis; pyrodinium; bloom; sxta; evolution; toxin_biosynthesis; toxicity; phylogeny; phylogenetic; gymnodinium; horizontal_gene_transfer,"aphanizomenon may provide cross-taxa context for sxt_genes, suggesting possible evolutionary or biosynthetic linkage supported by saxitoxin, dinoflagellate, alexandrium, dinoflagellates, cyanobacteria."
transcriptomic,BIOLOGICAL_PROCESS,sxtb,SXT_GENE,gene_process_association,1,0.8498001436961147,0.2610474070582876,0.6142990490409839,101.00653170572151,12,5,cyanobacteria; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; transcriptome; evolution; toxin_production; bloom; paralytic_shellfish_poisoning; nutrient; biosynthesis,"transcriptomic may be linked to the biological process sxtb, supported by bridge concepts including cyanobacteria, dinoflagellate, dinoflagellates, saxitoxin, paralytic_shellfish_toxins."
nitrate,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,1,0.7785449417731892,0.347873847220757,0.6062765039522163,180.6011332273442,20,5,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; alexandrium_fundyense; pyrodinium; gonyautoxin; bloom; nitrogen; pyrodinium_bahamense; toxicity; cyanobacteria; gymnodinium; gymnodinium_catenatum; phosphorus,"nitrate may influence or regulate sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, paralytic_shellfish_toxins."
alexandrium_catenella,DINO_TAXON,sxtg,SXT_GENE,taxon_gene_association,1,0.6456938590806278,0.5428228040177387,0.6045454370554721,268.32879100537906,31,6,saxitoxin; dinoflagellate; dinoflagellates; sxta; alexandrium; biosynthesis; paralytic_shellfish_toxins; cyanobacteria; evolution; paralytic_shellfish_poisoning; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,"alexandrium_catenella may be associated with sxtg-related genetic capacity, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, sxta, alexandrium."
gymnodinium,DINO_TAXON,sxtb,SXT_GENE,taxon_gene_association,1,0.8339345471298231,0.2597687198745718,0.6042682162277225,120.99169092395351,14,6,cyanobacterial; cyanobacteria; dinoflagellate; sxtg; sxta; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; evolution; toxin_production; bloom; paralytic_shellfish_poisoning; nutrient; biosynthesis,"gymnodinium may be associated with sxtb-related genetic capacity, supported by bridge concepts including cyanobacterial, cyanobacteria, dinoflagellate, sxtg, sxta."
sxta,SXT_GENE,transcriptomic,BIOLOGICAL_PROCESS,gene_process_association,1,0.7254236287810844,0.4177820897916811,0.602367013185323,201.28842743614905,23,5,alexandrium; dinoflagellate; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; transcriptome; bloom; light; expression; gene_expression; saxitoxin; regulation; dinoflagellates; alexandrium_tamarense; biosynthesis; cyanobacteria; toxin_production; alexandrium_fundyense; alexandrium_catenella; nitrogen; evolution,"sxta may be linked to the biological process transcriptomic, supported by bridge concepts including alexandrium, dinoflagellate, paralytic_shellfish_toxins, paralytic_shellfish_poisoning, transcriptome."
alexandrium_ostenfeldii,DINO_TAXON,cyanobacterium,CYANO_TAXON,cross_taxa_association,0,0.7629813440975084,0.3483975590739431,0.5971478300880823,182.97112680026936,17,6,saxitoxin; paralytic_shellfish_poisoning; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_toxins; mass_spectrometry; hplc; toxin_production; mouse_bioassay; cyanobacterial; toxicity; bloom; gymnodinium; lc_ms; alexandrium_minutum; phylogenetic,"alexandrium_ostenfeldii and cyanobacterium may share STX-related biological context, supported by bridge concepts including saxitoxin, paralytic_shellfish_poisoning, alexandrium, dinoflagellate, dinoflagellates."
neosaxitoxin,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,1,0.6560205747480742,0.5007148589403551,0.5938982884249866,275.6072037877256,23,5,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; pyrodinium; toxicity; toxin_production; gtx; pyrodinium_bahamense; nutrient; phylogenetic; cyanobacteria; temperature; alexandrium_fundyense; alexandrium_catenella; light; alexandrium_tamarense,"neosaxitoxin may be mechanistically associated with saxitoxin_biosynthesis, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellate, dinoflagellates, paralytic_shellfish_poisoning."
