Source,Source_Type,Target,Target_Type,Hypothesis_Class,Temporal_Label,ML_Probability,Node2Vec_Integrated_Score,Final_AI_Rank_Score,Score,Common_Neighbors,Distinct_Bridge_Types,Bridge_Nodes,Interpretation
gonyautoxin,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,,,0.6161282069450367,,335.8637697636944,31,6,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; pyrodinium; toxicity; phylogenetic; cyanobacteria; temperature; toxin_production; gtx; pyrodinium_bahamense; nutrient; biosynthesis; phosphate; anabaena; alexandrium_catenella,"gonyautoxin may be mechanistically associated with saxitoxin_biosynthesis, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellate, dinoflagellates, paralytic_shellfish_poisoning."
neosaxitoxin,TOXIN,expression,BIOLOGICAL_PROCESS,process_toxin_association,,,0.6106864423751408,,351.98311523964617,24,6,dinoflagellate; saxitoxin; alexandrium; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; alexandrium_tamarense; toxin_production; light; gymnodinium; gymnodinium_catenatum; nutrient; phylogenetic; cyanobacteria; alexandrium_fundyense; gonyautoxin; bloom; alexandrium_catenella; lc_ms; nitrogen,"neosaxitoxin may be mechanistically associated with expression, supported by bridge concepts including dinoflagellate, saxitoxin, alexandrium, paralytic_shellfish_toxins, paralytic_shellfish_poisoning."
gonyautoxin,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,,,0.5902842142574395,,312.56999787312884,32,7,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; nutrient; toxin_production; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_minutum; cyanobacteria; gtx; alexandrium_catenella; alexandrium_tamarense; biosynthesis; temperature; phosphate; anabaena; bloom; light,"gonyautoxin may be mechanistically associated with toxin_biosynthesis, supported by bridge concepts including alexandrium, paralytic_shellfish_toxins, dinoflagellate, dinoflagellates, nutrient."
neosaxitoxin,TOXIN,nutrients,ENV_FACTOR,environment_toxin_association,,,0.5563747079880317,,289.47313743357125,27,5,dinoflagellate; alexandrium; saxitoxin; toxicity; toxin_production; paralytic_shellfish_toxins; light; salinity; paralytic_shellfish_poisoning; dinoflagellates; gymnodinium; pyrodinium; gtx; pyrodinium_bahamense; alexandrium_tamarense; nutrient; phylogenetic; temperature; hplc; gymnodinium_catenatum,"neosaxitoxin may be associated with variation in nutrients, supported by bridge concepts including dinoflagellate, alexandrium, saxitoxin, toxicity, toxin_production."
sxta,SXT_GENE,salinity,ENV_FACTOR,environment_gene_regulation,,,0.5470431660790234,,311.972526339978,28,6,dinoflagellate; saxitoxin; alexandrium; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; pyrodinium; toxicity; dinoflagellates; alexandrium_minutum; toxin_production; bloom; light; pyrodinium_bahamense; regulation; alexandrium_tamarense; nutrient; gonyautoxin; alexandrium_catenella; lc_ms; nitrogen,"sxta may influence or regulate salinity, supported by bridge concepts including dinoflagellate, saxitoxin, alexandrium, paralytic_shellfish_poisoning, paralytic_shellfish_toxins."
alexandrium_catenella,DINO_TAXON,sxtg,SXT_GENE,taxon_gene_association,,,0.5428228040177387,,268.32879100537906,31,6,saxitoxin; dinoflagellate; dinoflagellates; sxta; alexandrium; biosynthesis; paralytic_shellfish_toxins; cyanobacteria; evolution; paralytic_shellfish_poisoning; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,"alexandrium_catenella may be associated with sxtg-related genetic capacity, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, sxta, alexandrium."
gtx,TOXIN,evolution,BIOLOGICAL_PROCESS,process_toxin_association,,,0.5411077022442198,,296.0789450193625,24,6,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; biosynthesis; gymnodinium; saxitoxin_biosynthesis; alexandrium_catenella; mouse_bioassay; alexandrium_tamarense; alexandrium_minutum; phylogenetic; toxin_production; hplc; gymnodinium_catenatum; alexandrium_fundyense; bloom,"gtx may be mechanistically associated with evolution, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, paralytic_shellfish_poisoning, dinoflagellates."
neosaxitoxin,TOXIN,evolution,BIOLOGICAL_PROCESS,process_toxin_association,,,0.5359443860452633,,294.27931666163965,24,6,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; toxicity; gymnodinium; pyrodinium; mouse_bioassay; alexandrium_tamarense; phylogenetic; cyanobacteria; toxin_production; hplc; gymnodinium_catenatum; alexandrium_fundyense; bloom; alexandrium_catenella; nitrogen,"neosaxitoxin may be mechanistically associated with evolution, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, paralytic_shellfish_poisoning, dinoflagellates."
sxta,SXT_GENE,nitrate,ENV_FACTOR,environment_gene_regulation,,,0.5338958253241513,,316.4453137150905,27,6,alexandrium; dinoflagellate; paralytic_shellfish_toxins; dinoflagellates; saxitoxin; paralytic_shellfish_poisoning; toxicity; alexandrium_tamarense; alexandrium_minutum; bloom; toxin_production; alexandrium_fundyense; light; regulation; nutrient; pyrodinium; gonyautoxin; alexandrium_catenella; nitrogen; pyrodinium_bahamense,"sxta may influence or regulate nitrate, supported by bridge concepts including alexandrium, dinoflagellate, paralytic_shellfish_toxins, dinoflagellates, saxitoxin."
sxta,SXT_GENE,nutrients,ENV_FACTOR,environment_gene_regulation,,,0.5282637116629236,,292.9850352777138,29,5,dinoflagellate; alexandrium; saxitoxin; toxicity; paralytic_shellfish_toxins; bloom; alexandrium_catenella; paralytic_shellfish_poisoning; dinoflagellates; toxin_production; gymnodinium; pyrodinium; alexandrium_fundyense; light; expression; pyrodinium_bahamense; regulation; alexandrium_tamarense; alexandrium_minutum; nutrient,"sxta may influence or regulate nutrients, supported by bridge concepts including dinoflagellate, alexandrium, saxitoxin, toxicity, paralytic_shellfish_toxins."
neosaxitoxin,TOXIN,alexandrium_ostenfeldii,DINO_TAXON,taxon_toxin_association,,,0.5252614592781005,,275.0998818997214,23,5,alexandrium; saxitoxin; dinoflagellate; paralytic_shellfish_poisoning; toxicity; gtx; dinoflagellates; paralytic_shellfish_toxins; mass_spectrometry; toxin_production; hplc; gonyautoxin; salinity; temperature; bloom; light; lc_ms; liquid_chromatography; mouse_bioassay; alexandrium_minutum,"neosaxitoxin may be associated with alexandrium_ostenfeldii production or occurrence, supported by bridge concepts including alexandrium, saxitoxin, dinoflagellate, paralytic_shellfish_poisoning, toxicity."
regulation,BIOLOGICAL_PROCESS,sxtg,SXT_GENE,gene_process_association,,,0.5237679255984848,,264.8736299306558,30,6,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; biosynthesis; paralytic_shellfish_toxins; evolution; cyanobacteria; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin,"regulation may be linked to the biological process sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, biosynthesis."
alexandrium_catenella,DINO_TAXON,anabaena,CYANO_TAXON,cross_taxa_association,,,0.5142953353247682,,274.01140377790506,27,7,saxitoxin; alexandrium; dinoflagellates; paralytic_shellfish_toxins; dinoflagellate; alexandrium_tamarense; hplc; paralytic_shellfish_poisoning; biosynthesis; cyanobacteria; bloom; sxta; expression; evolution; phylogenetic; gymnodinium; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; gene_expression,"alexandrium_catenella and anabaena may share STX-related biological context, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellates, paralytic_shellfish_toxins, dinoflagellate."
pyrodinium,DINO_TAXON,cyanobacterium,CYANO_TAXON,cross_taxa_association,,,0.5133365842481051,,270.4468062798229,28,7,saxitoxin; dinoflagellates; paralytic_shellfish_poisoning; hplc; alexandrium; dinoflagellate; paralytic_shellfish_toxins; sxta; cyanobacteria; cyanobacterial; mass_spectrometry; toxin_production; saxitoxin_biosynthesis; anabaena; bloom; lc_ms; nitrogen; aphanizomenon; lyngbya; cylindrospermopsis,"pyrodinium and cyanobacterium may share STX-related biological context, supported by bridge concepts including saxitoxin, dinoflagellates, paralytic_shellfish_poisoning, hplc, alexandrium."
neosaxitoxin,TOXIN,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,,,0.5007148589403551,,275.6072037877256,23,5,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_poisoning; gymnodinium; gymnodinium_catenatum; pyrodinium; toxicity; toxin_production; gtx; pyrodinium_bahamense; nutrient; phylogenetic; cyanobacteria; temperature; alexandrium_fundyense; alexandrium_catenella; light; alexandrium_tamarense,"neosaxitoxin may be mechanistically associated with saxitoxin_biosynthesis, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellate, dinoflagellates, paralytic_shellfish_poisoning."
neosaxitoxin,TOXIN,phosphate,ENV_FACTOR,environment_toxin_association,,,0.4975351804931935,,246.6020163491673,24,5,alexandrium; dinoflagellate; toxicity; toxin_production; saxitoxin; gtx; paralytic_shellfish_toxins; gonyautoxin; light; salinity; dinoflagellates; alexandrium_tamarense; nutrient; temperature; alexandrium_fundyense; bloom; nitrogen; nitrate; paralytic_shellfish_poisoning; alexandrium_minutum,"neosaxitoxin may be associated with variation in phosphate, supported by bridge concepts including alexandrium, dinoflagellate, toxicity, toxin_production, saxitoxin."
alexandrium_tamarense,DINO_TAXON,sxtg,SXT_GENE,taxon_gene_association,,,0.4965192595798541,,260.3799690893336,29,6,saxitoxin; dinoflagellate; dinoflagellates; sxta; alexandrium; biosynthesis; paralytic_shellfish_toxins; cyanobacteria; cyanobacterial; evolution; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; gymnodinium; gymnodinium_catenatum; alexandrium_fundyense; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,"alexandrium_tamarense may be associated with sxtg-related genetic capacity, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, sxta, alexandrium."
alexandrium_fundyense,DINO_TAXON,sxt_genes,SXT_GENE,taxon_gene_association,,,0.4895665899076087,,238.1686908725422,26,6,saxitoxin; biosynthesis; dinoflagellate; alexandrium; saxitoxin_biosynthesis; dinoflagellates; sxta; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; phylogenetic; cyanobacteria; transcriptome; bloom; alexandrium_catenella; light; expression; cyanobacterial; evolution; toxin_biosynthesis; gene_duplication,"alexandrium_fundyense may be associated with sxt_genes-related genetic capacity, supported by bridge concepts including saxitoxin, biosynthesis, dinoflagellate, alexandrium, saxitoxin_biosynthesis."
gtx,TOXIN,gene_expression,BIOLOGICAL_PROCESS,process_toxin_association,,,0.484460061818088,,264.0629331981156,23,5,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; alexandrium_minutum; dinoflagellates; toxin_production; alexandrium_tamarense; biosynthesis; alexandrium_catenella; nutrient; gymnodinium; gymnodinium_catenatum; alexandrium_fundyense; gonyautoxin; saxitoxin_biosynthesis; bloom; light; nitrogen,"gtx may be mechanistically associated with gene_expression, supported by bridge concepts including alexandrium, dinoflagellate, saxitoxin, paralytic_shellfish_poisoning, paralytic_shellfish_toxins."
light,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,,,0.4815071053017218,,248.5749212437373,29,6,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; biosynthesis; sxta; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; cyanobacteria; toxin_production; gymnodinium; gymnodinium_catenatum; transcriptome; alexandrium_fundyense; pyrodinium; gonyautoxin; sxt_genes; saxitoxin_biosynthesis,"light may influence or regulate sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, dinoflagellates, alexandrium, paralytic_shellfish_toxins."
cyanobacteria,CYANO_TAXON,alexandrium_ostenfeldii,DINO_TAXON,cross_taxa_association,,,0.4799541370496201,,275.6995167330288,24,6,alexandrium; saxitoxin; dinoflagellate; paralytic_shellfish_poisoning; toxicity; dinoflagellates; paralytic_shellfish_toxins; mass_spectrometry; toxin_production; hplc; gonyautoxin; bloom; lc_ms; gtx; light; cyanobacterial; salinity; harmful_algal_bloom; mouse_bioassay; climate,"cyanobacteria and alexandrium_ostenfeldii may share STX-related biological context, supported by bridge concepts including alexandrium, saxitoxin, dinoflagellate, paralytic_shellfish_poisoning, toxicity."
neosaxitoxin,TOXIN,toxin_biosynthesis,BIOLOGICAL_PROCESS,process_toxin_association,,,0.4788629385259372,,244.3994898542639,24,6,alexandrium; paralytic_shellfish_toxins; dinoflagellate; dinoflagellates; toxin_production; saxitoxin; paralytic_shellfish_poisoning; toxicity; gtx; alexandrium_tamarense; nutrient; cyanobacteria; temperature; alexandrium_fundyense; bloom; alexandrium_catenella; light; nitrogen; salinity; mass_spectrometry,"neosaxitoxin may be mechanistically associated with toxin_biosynthesis, supported by bridge concepts including alexandrium, paralytic_shellfish_toxins, dinoflagellate, dinoflagellates, toxin_production."
toxin_production,BIOLOGICAL_PROCESS,sxt_genes,SXT_GENE,gene_process_association,,,0.4775486465103544,,254.9120374123609,27,6,saxitoxin; biosynthesis; dinoflagellate; alexandrium; dinoflagellates; saxitoxin_biosynthesis; sxta; cyanobacteria; gymnodinium; gymnodinium_catenatum; paralytic_shellfish_toxins; pyrodinium; cyanobacterial; paralytic_shellfish_poisoning; phylogenetic; transcriptome; bloom; alexandrium_catenella; light; expression,"toxin_production may be linked to the biological process sxt_genes, supported by bridge concepts including saxitoxin, biosynthesis, dinoflagellate, alexandrium, dinoflagellates."
alexandrium_catenella,DINO_TAXON,cyanobacterium,CYANO_TAXON,cross_taxa_association,,,0.4754170620560669,,244.8009625109038,24,7,saxitoxin; dinoflagellates; paralytic_shellfish_poisoning; hplc; alexandrium; dinoflagellate; paralytic_shellfish_toxins; sxta; cyanobacteria; expression; toxin_production; saxitoxin_biosynthesis; bloom; nitrogen; cyanobacterial; mouse_bioassay; toxicity; mass_spectrometry; alexandrium_tamarense; alexandrium_minutum,"alexandrium_catenella and cyanobacterium may share STX-related biological context, supported by bridge concepts including saxitoxin, dinoflagellates, paralytic_shellfish_poisoning, hplc, alexandrium."
sxta,SXT_GENE,phosphate,ENV_FACTOR,environment_gene_regulation,,,0.4732356447975351,,250.31935026300465,25,5,alexandrium; dinoflagellate; saxitoxin; toxicity; alexandrium_minutum; paralytic_shellfish_toxins; alexandrium_fundyense; saxitoxin_biosynthesis; biosynthesis; toxin_production; light; toxin_biosynthesis; regulation; dinoflagellates; alexandrium_tamarense; nutrient; gonyautoxin; bloom; nitrogen; paralytic_shellfish_poisoning,"sxta may influence or regulate phosphate, supported by bridge concepts including alexandrium, dinoflagellate, saxitoxin, toxicity, alexandrium_minutum."
alexandrium_minutum,DINO_TAXON,sxt_genes,SXT_GENE,taxon_gene_association,,,0.4715673028310451,,247.1204230106919,27,6,saxitoxin; dinoflagellate; alexandrium; biosynthesis; dinoflagellates; sxta; cyanobacteria; gymnodinium; gymnodinium_catenatum; paralytic_shellfish_toxins; pyrodinium; paralytic_shellfish_poisoning; phylogenetic; transcriptome; saxitoxin_biosynthesis; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense,"alexandrium_minutum may be associated with sxt_genes-related genetic capacity, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, biosynthesis, dinoflagellates."
alexandrium_fundyense,DINO_TAXON,anabaena,CYANO_TAXON,cross_taxa_association,,,0.4666036585833002,,244.6681274262937,25,7,saxitoxin; alexandrium; dinoflagellates; paralytic_shellfish_toxins; dinoflagellate; paralytic_shellfish_poisoning; biosynthesis; bloom; sxta; expression; phylogenetic; cyanobacteria; saxitoxin_biosynthesis; gene_expression; cyanobacterial; evolution; toxin_biosynthesis; regulation; alexandrium_tamarense; toxicity,"alexandrium_fundyense and anabaena may share STX-related biological context, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellates, paralytic_shellfish_toxins, dinoflagellate."
regulation,BIOLOGICAL_PROCESS,sxt_genes,SXT_GENE,gene_process_association,,,0.4589213799706121,,230.3429382338948,25,6,saxitoxin; dinoflagellate; alexandrium; biosynthesis; dinoflagellates; cyanobacteria; paralytic_shellfish_toxins; pyrodinium; saxitoxin_biosynthesis; sxta; cyanobacterial; paralytic_shellfish_poisoning; gymnodinium; transcriptome; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense; evolution,"regulation may be linked to the biological process sxt_genes, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, biosynthesis, dinoflagellates."
pyrodinium_bahamense,DINO_TAXON,cyanobacterium,CYANO_TAXON,cross_taxa_association,,,0.4588914314826774,,241.3813559295409,24,7,saxitoxin; dinoflagellates; paralytic_shellfish_poisoning; hplc; alexandrium; dinoflagellate; paralytic_shellfish_toxins; sxta; cyanobacterial; mass_spectrometry; toxin_production; saxitoxin_biosynthesis; bloom; lc_ms; nitrogen; mouse_bioassay; toxicity; alexandrium_minutum; elisa; phylogenetic,"pyrodinium_bahamense and cyanobacterium may share STX-related biological context, supported by bridge concepts including saxitoxin, dinoflagellates, paralytic_shellfish_poisoning, hplc, alexandrium."
neosaxitoxin,TOXIN,gene_expression,BIOLOGICAL_PROCESS,process_toxin_association,,,0.4585717922360149,,240.6265495218171,21,5,alexandrium; dinoflagellate; saxitoxin; paralytic_shellfish_poisoning; paralytic_shellfish_toxins; dinoflagellates; toxin_production; alexandrium_tamarense; nutrient; cyanobacteria; gymnodinium; gymnodinium_catenatum; alexandrium_fundyense; gonyautoxin; bloom; alexandrium_catenella; light; nitrogen; alexandrium_minutum; phylogenetic,"neosaxitoxin may be mechanistically associated with gene_expression, supported by bridge concepts including alexandrium, dinoflagellate, saxitoxin, paralytic_shellfish_poisoning, paralytic_shellfish_toxins."
anabaena,CYANO_TAXON,sxtg,SXT_GENE,cyano_gene_transfer_signal,,,0.456514809305584,,224.8801991120008,25,6,saxitoxin; dinoflagellate; dinoflagellates; alexandrium; paralytic_shellfish_toxins; biosynthesis; cyanobacteria; sxta; cyanobacterial; evolution; paralytic_shellfish_poisoning; gymnodinium; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; bloom; expression; gene_expression; toxin_biosynthesis; toxicity,"anabaena may provide cross-taxa context for sxtg, suggesting possible evolutionary or biosynthetic linkage supported by saxitoxin, dinoflagellate, dinoflagellates, alexandrium, paralytic_shellfish_toxins."
anabaena,CYANO_TAXON,sxt_genes,SXT_GENE,cyano_gene_transfer_signal,,,0.4425691929854761,,213.8359233968173,23,6,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; biosynthesis; cyanobacteria; paralytic_shellfish_toxins; sxta; cyanobacterial; paralytic_shellfish_poisoning; phylogenetic; gymnodinium; pyrodinium; saxitoxin_biosynthesis; bloom; expression; evolution; toxin_biosynthesis; toxicity; alexandrium_tamarense,"anabaena may provide cross-taxa context for sxt_genes, suggesting possible evolutionary or biosynthetic linkage supported by saxitoxin, dinoflagellate, alexandrium, dinoflagellates, biosynthesis."
nutrient,ENV_FACTOR,sxt_genes,SXT_GENE,environment_gene_regulation,,,0.4412820889217569,,229.9282810175799,25,6,saxitoxin; biosynthesis; dinoflagellate; alexandrium; dinoflagellates; cyanobacteria; paralytic_shellfish_toxins; pyrodinium; saxitoxin_biosynthesis; sxta; paralytic_shellfish_poisoning; phylogenetic; transcriptome; bloom; alexandrium_catenella; light; expression; pyrodinium_bahamense; cyanobacterial; toxin_biosynthesis,"nutrient may influence or regulate sxt_genes, supported by bridge concepts including saxitoxin, biosynthesis, dinoflagellate, alexandrium, dinoflagellates."
pyrodinium_bahamense,DINO_TAXON,anabaena,CYANO_TAXON,cross_taxa_association,,,0.4406154663715725,,244.89957747806787,25,7,saxitoxin; dinoflagellates; paralytic_shellfish_toxins; alexandrium; dinoflagellate; hplc; paralytic_shellfish_poisoning; bloom; sxta; cyanobacterial; biosynthesis; gymnodinium; pyrodinium; gonyautoxin; saxitoxin_biosynthesis; lc_ms; evolution; regulation; toxicity; mass_spectrometry,"pyrodinium_bahamense and anabaena may share STX-related biological context, supported by bridge concepts including saxitoxin, dinoflagellates, paralytic_shellfish_toxins, alexandrium, dinoflagellate."
neosaxitoxin,TOXIN,alexandrium_tamiyavanichii,DINO_TAXON,taxon_toxin_association,,,0.4375316091554118,,191.00049747644024,20,6,alexandrium; dinoflagellate; toxicity; hplc; saxitoxin; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; pyrodinium; gonyautoxin; gtx; alexandrium_catenella; light; pyrodinium_bahamense; nitrate; alexandrium_minutum; biosynthesis; cyanobacteria; temperature; toxin_production,"neosaxitoxin may be associated with alexandrium_tamiyavanichii production or occurrence, supported by bridge concepts including alexandrium, dinoflagellate, toxicity, hplc, saxitoxin."
